actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
63,PT06M39.00S,2021-10-24T23:19:48.4Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,11,12,2021-10-24T23:19:49Z,630000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
64,PT06M34.00S,2021-10-24T23:19:53.1Z,1,REGULAR,3pt,Jump Shot,[],1629647,5.995400788436268,4.6568627450980395,1610612760,11,12,2021-10-24T23:20:00Z,640000,227.0,4.0,1,left,MISS D. Bazley 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M31.00S,2021-10-24T23:19:56.1Z,1,REGULAR,rebound,defensive,[],201980,,,1610612755,11,12,2021-10-24T23:20:00Z,650000,,,0,,D. Green REBOUND (Off:0 Def:1),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
66,PT06M26.00S,2021-10-24T23:20:01.3Z,1,REGULAR,3pt,Jump Shot,[],203552,89.70105124835742,3.9215686274509802,1610612755,11,15,2021-10-24T23:20:10Z,660000,-230.0,44.0,1,right,S. Curry 3PT  (11 PTS) (G. Niang 2 AST),"[203552, 1627777]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,23.46,Made,,,,,,,,,,11.0,,,,,,G. Niang,1627777.0,2.0,
68,PT06M17.00S,2021-10-24T23:20:15.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,11,15,2021-10-24T23:20:15Z,680000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M17.00S,2021-10-24T23:22:54.8Z,1,REGULAR,substitution,out,[],1627777,,,1610612760,11,15,2021-10-24T23:22:58Z,690000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M17.00S,2021-10-24T23:22:54.8Z,1,REGULAR,substitution,in,[],203954,,,1610612760,11,15,2021-10-24T23:22:58Z,700000,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M08.00S,2021-10-24T23:23:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,16.245072273324574,39.21568627450981,1610612760,13,15,2021-10-24T23:23:23Z,710000,54.0,100.0,1,left,J. Giddey 11' floating Jump Shot (4 PTS) (S. Gilgeous-Alexander 1 AST),"[1630581, 1628983]",1610612760.0,OKC,floating,,,Giddey,J. Giddey,,,,,11.38,Made,,,,,,,,,,4.0,,,,,,S. Gilgeous-Alexander,1628983.0,1.0,
73,PT05M55.00S,2021-10-24T23:23:30.8Z,1,REGULAR,3pt,Jump Shot,[],203552,73.27529566360053,83.08823529411765,1610612755,13,18,2021-10-24T23:23:35Z,730000,165.0,199.0,1,right,S. Curry 25' 3PT pullup (14 PTS),[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,25.85,Made,,,,,,,,,,14.0,,,,,,,,,
74,PT05M44.00S,2021-10-24T23:23:41.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202324,9.017739816031538,49.01960784313725,1610612760,15,18,2021-10-24T23:23:48Z,740000,5.0,32.0,1,left,D. Favors cutting DUNK (4 PTS) (L. Dort 2 AST),"[202324, 1629652]",1610612760.0,OKC,cutting,,,Favors,D. Favors,,,,,3.27,Made,,,,,,,,,,4.0,,,,,,L. Dort,1629652.0,2.0,
76,PT05M21.00S,2021-10-24T23:24:04.6Z,1,REGULAR,2pt,Jump Shot,[],203954,82.7365308804205,20.833333333333336,1610612755,15,18,2021-10-24T23:24:11Z,760000,-146.0,110.0,1,right,MISS J. Embiid 18' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,18.25,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M18.00S,2021-10-24T23:24:07.6Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,15,18,2021-10-24T23:24:11Z,770000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
78,PT05M13.00S,2021-10-24T23:24:18.8Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612760,15,18,2021-10-24T23:24:29Z,780000,,,0,,T. Maxey shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630178, 1628983]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,,,,,,,1179.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,
80,PT05M13.00S,2021-10-24T23:24:40.4Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,16,18,2021-10-24T23:24:40Z,800000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (3 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
82,PT05M13.00S,2021-10-24T23:24:42.6Z,1,REGULAR,substitution,out,[],202324,,,1610612760,16,18,2021-10-24T23:24:46Z,810000,,,0,,SUB out: D. Favors,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M13.00S,2021-10-24T23:24:42.6Z,1,REGULAR,substitution,in,[],1630526,,,1610612760,16,18,2021-10-24T23:24:46Z,820000,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M13.00S,2021-10-24T23:24:57.3Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,17,18,2021-10-24T23:24:57Z,830000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (4 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Made,,,,,,,,,,4.0,,,,,,,,,
85,PT04M58.00S,2021-10-24T23:25:12.8Z,1,REGULAR,2pt,Jump Shot,[],1630178,92.85479632063075,20.833333333333336,1610612755,17,20,2021-10-24T23:25:21Z,840000,-146.0,15.0,1,right,T. Maxey 14' floating Jump Shot (2 PTS) (T. Harris 1 AST),"[1630178, 202699]",1610612755.0,PHI,floating,,,Maxey,T. Maxey,,,,,14.65,Made,,,,,,,,,,2.0,,,,,,T. Harris,202699.0,1.0,
87,PT04M44.00S,2021-10-24T23:25:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,5.601182654402102,43.38235294117647,1610612760,17,20,2021-10-24T23:25:32Z,860000,33.0,0.0,1,left,MISS J. Robinson-Earl driving Layup - blocked,"[1630526, 201980]",1610612760.0,OKC,driving,,,Robinson-Earl,J. Robinson-Earl,,,,,3.31,Missed,,,,,,,,,,,,,,Green,201980.0,,,,
88,PT04M44.00S,2021-10-24T23:25:26.3Z,1,REGULAR,block,,[],201980,,,1610612760,17,20,2021-10-24T23:25:28Z,870000,,,0,,D. Green BLOCK (1 BLK),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M41.00S,2021-10-24T23:25:29.3Z,1,REGULAR,rebound,defensive,[],201980,,,1610612755,17,20,2021-10-24T23:25:32Z,880000,,,0,,D. Green REBOUND (Off:0 Def:2),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,87.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
90,PT04M35.00S,2021-10-24T23:25:39.5Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612755,17,20,2021-10-24T23:25:51Z,890000,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Maxey 2 FT),"[1628983, 1630178]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,1179.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,,
