actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
29,PT09M51.00S,2022-01-01T01:13:11.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1629628,,,1610612752,3,9,2022-01-01T01:13:11Z,290000,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Missed,,,,,,,,,,,,,,,,,,
30,PT09M51.00S,2022-01-01T01:13:11.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,3,9,2022-01-01T01:13:11Z,300000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,
31,PT09M51.00S,2022-01-01T01:13:24.0Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1629628,,,1610612752,3,10,2022-01-01T01:13:24Z,310000,,,0,,R. Barrett Free Throw 2 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
32,PT09M39.00S,2022-01-01T01:13:37.1Z,1,REGULAR,turnover,out-of-bounds,[],1629652,,,1610612760,3,10,2022-01-01T01:13:45Z,320000,,,0,,L. Dort bad pass out-of-bounds TURNOVER (1 TO),[1629652],1610612760.0,OKC,bad pass,,,Dort,L. Dort,,,,,,,,,,,,,,,1.0,,,,,2715.0,,,,
33,PT09M30.00S,2022-01-01T01:13:58.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,72.35545335085413,81.12745098039215,1610612752,3,10,2022-01-01T01:15:59Z,330000,156.0,207.0,1,right,MISS E. Fournier 25' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,
34,PT09M28.00S,2022-01-01T01:14:00.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,3,10,2022-01-01T01:14:02Z,340000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,
35,PT09M14.00S,2022-01-01T01:14:17.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,20.318659658344284,50.98039215686274,1610612760,3,10,2022-01-01T01:14:24Z,350000,-5.0,138.0,1,left,MISS L. Dort 13' pullup Shot,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,13.86,Missed,,,,,,,,,,,,,,,,,,
36,PT09M10.00S,2022-01-01T01:14:21.9Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,3,10,2022-01-01T01:14:24Z,360000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,
37,PT09M02.00S,2022-01-01T01:14:29.4Z,1,REGULAR,3pt,Jump Shot,[],1630540,95.0886990801577,2.941176470588235,1610612752,3,10,2022-01-01T01:14:34Z,370000,-235.0,-6.0,1,right,MISS M. McBride 3PT,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,23.54,Missed,,,,,,,,,,,,,,,,,,
38,PT08M59.00S,2022-01-01T01:14:32.4Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,3,10,2022-01-01T01:14:34Z,380000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,
39,PT08M51.00S,2022-01-01T01:14:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,8.09789750328515,38.23529411764706,1610612760,3,10,2022-01-01T01:14:45Z,390000,59.0,24.0,1,left,MISS L. Dort 6' driving reverse Layup,[1629652],1610612760.0,OKC,driving reverse,,,Dort,L. Dort,,,,,6.34,Missed,,,,,,,,,,,,,,,,,,
40,PT08M48.00S,2022-01-01T01:14:43.9Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,3,10,2022-01-01T01:14:45Z,400000,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
41,PT08M44.00S,2022-01-01T01:14:48.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629628,92.59198423127464,47.794117647058826,1610612752,3,12,2022-01-01T01:14:59Z,410000,-11.0,17.0,1,right,R. Barrett running Layup (3 PTS),[1629628],1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,2.03,Made,3.0,,,,,,,,,,,,,,,,,
42,PT08M43.00S,2022-01-01T01:14:52.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,3,12,2022-01-01T01:14:52Z,420000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M33.00S,2022-01-01T01:17:52.7Z,1,REGULAR,foul,personal,[],1630540,,,1610612760,3,12,2022-01-01T01:18:10Z,430000,,,0,,M. McBride personal FOUL (1 PF),"[1630540, 1628983]",1610612752.0,NYK,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Gilgeous-Alexander,1628983.0
45,PT08M20.00S,2022-01-01T01:18:28.1Z,1,REGULAR,3pt,Jump Shot,[],1628983,26.888961892247043,82.84313725490196,1610612760,6,12,2022-01-01T01:18:34Z,450000,-164.0,200.0,1,left,S. Gilgeous-Alexander 25' 3PT pullup (3 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,25.9,Made,3.0,,,,,,,,,,,,,,,,,
46,PT07M55.00S,2022-01-01T01:18:52.2Z,1,REGULAR,3pt,Jump Shot,[],1629628,76.82325886990802,87.99019607843137,1610612752,6,12,2022-01-01T01:18:55Z,460000,190.0,165.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,25.19,Missed,,,,,,,,,,,,,,,,,,
47,PT07M53.00S,2022-01-01T01:18:54.2Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,6,12,2022-01-01T01:18:55Z,470000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,
48,PT07M39.00S,2022-01-01T01:19:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,6.521024967148489,39.950980392156865,1610612760,6,12,2022-01-01T01:19:20Z,480000,50.0,9.0,1,left,MISS A. Wiggins driving reverse Layup,[1630598],1610612760.0,OKC,driving reverse,,,Wiggins,A. Wiggins,,,,,5.1,Missed,,,,,,,,,,,,,,,,,,
50,PT07M36.00S,2022-01-01T01:19:11.2Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,6,12,2022-01-01T01:19:12Z,500000,,,0,,R. Barrett REBOUND (Off:0 Def:3),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,48.0,3.0,3.0,0.0,,,,,,,,,,
51,PT07M30.00S,2022-01-01T01:19:17.3Z,1,REGULAR,3pt,Jump Shot,[],1630540,95.3515111695138,95.58823529411765,1610612752,6,12,2022-01-01T01:19:22Z,510000,228.0,-9.0,1,right,MISS M. McBride 3PT,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,22.81,Missed,,,,,,,,,,,,,,,,,,
52,PT07M27.00S,2022-01-01T01:19:20.3Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,6,12,2022-01-01T01:19:22Z,520000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,,,,,
53,PT07M20.00S,2022-01-01T01:19:30.0Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612760,6,12,2022-01-01T01:19:43Z,530000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1629011, 1628983]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,202035.0,1.0,0.0,Gilgeous-Alexander,1628983.0
55,PT07M20.00S,2022-01-01T01:19:54.5Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,7,12,2022-01-01T01:19:54Z,550000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (4 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
56,PT07M20.00S,2022-01-01T01:19:55.2Z,1,REGULAR,substitution,out,[],1628778,,,1610612760,7,12,2022-01-01T01:20:00Z,560000,,,0,,SUB out: P. Watson,[1628778],1610612760.0,OKC,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M20.00S,2022-01-01T01:19:55.2Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,7,12,2022-01-01T01:20:00Z,570000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M20.00S,2022-01-01T01:20:13.6Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,8,12,2022-01-01T01:20:13Z,580000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (5 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
59,PT07M09.00S,2022-01-01T01:20:26.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.85479632063075,47.30392156862745,1610612752,8,14,2022-01-01T01:20:29Z,590000,-13.0,15.0,1,right,R. Barrett driving Layup (5 PTS),[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,2.0,Made,5.0,,,,,,,,,,,,,,,,,
61,PT06M52.00S,2022-01-01T01:20:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,5.338370565045992,45.34313725490196,1610612760,10,14,2022-01-01T01:20:48Z,610000,23.0,-2.0,1,left,S. Gilgeous-Alexander driving reverse Layup (7 PTS),[1628983],1610612760.0,OKC,driving reverse,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.34,Made,7.0,,,,,,,,,,,,,,,,,
62,PT06M46.00S,2022-01-01T01:20:53.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,10,14,2022-01-01T01:20:53Z,620000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M40.00S,2022-01-01T01:23:51.4Z,1,REGULAR,3pt,Jump Shot,[],203095,78.53153745072274,90.93137254901961,1610612752,10,14,2022-01-01T01:23:56Z,630000,205.0,149.0,1,right,MISS E. Fournier 25' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,25.34,Missed,,,,,,,,,,,,,,,,,,
64,PT06M37.00S,2022-01-01T01:23:54.4Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,10,14,2022-01-01T01:23:56Z,640000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:2),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,
65,PT06M22.00S,2022-01-01T01:24:09.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630598,10.068988173455978,59.31372549019608,1610612760,12,14,2022-01-01T01:24:13Z,650000,-47.0,42.0,1,left,A. Wiggins 6' floating Jump Shot (5 PTS) (S. Gilgeous-Alexander 2 AST),"[1630598, 1628983]",1610612760.0,OKC,floating,,,Wiggins,A. Wiggins,,,,,6.28,Made,5.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,,,,,
67,PT05M57.00S,2022-01-01T01:24:33.8Z,1,REGULAR,3pt,Jump Shot,[],1629628,71.69842312746385,83.08823529411765,1610612752,12,14,2022-01-01T01:26:08Z,670000,165.0,214.0,1,right,MISS R. Barrett 27' step back 3PT,[1629628],1610612752.0,NYK,step back,,,Barrett,R. Barrett,,,,,27.01,Missed,,,,,,,,,,,,,,,,,,
68,PT05M56.00S,2022-01-01T01:24:34.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,12,14,2022-01-01T01:24:59Z,680000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,
69,PT05M56.00S,2022-01-01T01:24:42.6Z,1,REGULAR,foul,personal,[],1629026,,,1610612752,12,14,2022-01-01T01:24:50Z,690000,,,0,,K. Williams loose ball personal FOUL (1 PF),"[1629026, 1630167]",1610612760.0,OKC,loose ball,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,202035.0,1.0,0.0,Toppin,1630167.0
71,PT05M56.00S,2022-01-01T01:24:52.4Z,1,REGULAR,substitution,out,[],1629011,,,1610612752,12,14,2022-01-01T01:24:59Z,710000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M56.00S,2022-01-01T01:24:52.4Z,1,REGULAR,substitution,in,[],201959,,,1610612752,12,14,2022-01-01T01:24:59Z,720000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M44.00S,2022-01-01T01:25:10.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203095,87.33574244415243,37.99019607843137,1610612752,12,14,2022-01-01T01:25:16Z,730000,-60.0,67.0,1,right,MISS E. Fournier 8' driving floating Shot,[203095],1610612752.0,NYK,driving floating,,,Fournier,E. Fournier,,,,,8.96,Missed,,,,,,,,,,,,,,,,,,
74,PT05M41.00S,2022-01-01T01:25:13.8Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,12,14,2022-01-01T01:25:16Z,740000,,,0,,I. Roby REBOUND (Off:0 Def:2),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,73.0,2.0,2.0,0.0,,,,,,,,,,
75,PT05M30.00S,2022-01-01T01:25:24.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.652431011826544,45.83333333333333,1610612760,12,14,2022-01-01T01:25:28Z,750000,21.0,10.0,1,left,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.31,Missed,,,,,,,,,,,,,,,,,,
76,PT05M27.00S,2022-01-01T01:25:27.6Z,1,REGULAR,rebound,defensive,[],201959,,,1610612752,12,14,2022-01-01T01:25:28Z,760000,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,,
77,PT05M20.00S,2022-01-01T01:25:33.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.46057818659659,55.88235294117647,1610612752,12,14,2022-01-01T01:25:40Z,770000,29.0,18.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,3.47,Missed,,,,,,,,,,,,,,,,,,
78,PT05M20.00S,2022-01-01T01:25:33.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,12,14,2022-01-01T01:25:40Z,780000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,
79,PT05M20.00S,2022-01-01T01:25:38.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,12,14,2022-01-01T01:25:38Z,790000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M02.00S,2022-01-01T01:25:59.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,30.17411300919842,21.813725490196077,1610612760,12,14,2022-01-01T01:26:05Z,800000,141.0,231.0,1,left,MISS L. Dort 27' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,27.07,Missed,,,,,,,,,,,,,,,,,,
81,PT04M57.00S,2022-01-01T01:26:04.9Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612752,12,14,2022-01-01T01:26:05Z,810000,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,
82,PT04M44.00S,2022-01-01T01:26:17.1Z,1,REGULAR,3pt,Jump Shot,[],1630540,67.7562417871222,30.88235294117647,1610612752,12,14,2022-01-01T01:27:48Z,820000,-96.0,251.0,1,right,MISS M. McBride 26' pullup 3PT,[1630540],1610612752.0,NYK,pullup,,,McBride,M. McBride,,,,,26.82,Missed,,,,,,,,,,,,,,,,,,
83,PT04M42.00S,2022-01-01T01:26:19.1Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,12,14,2022-01-01T01:26:20Z,830000,,,0,,I. Roby REBOUND (Off:0 Def:3),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,82.0,3.0,3.0,0.0,,,,,,,,,,
84,PT04M32.00S,2022-01-01T01:26:29.4Z,1,REGULAR,turnover,lost ball,[],1629676,,,1610612760,12,14,2022-01-01T01:26:33Z,840000,,,0,,I. Roby lost ball TURNOVER (1 TO),"[1629676, 203095]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,1.0,Fournier,203095.0,,,,,,,
85,PT04M32.00S,2022-01-01T01:26:29.4Z,1,REGULAR,steal,,[],203095,,,1610612752,12,14,2022-01-01T01:26:31Z,850000,,,0,,E. Fournier STEAL (2 STL),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M28.00S,2022-01-01T01:26:34.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203095,91.93495400788436,51.71568627450981,1610612752,12,14,2022-01-01T01:28:21Z,860000,9.0,23.0,1,right,MISS E. Fournier running Layup,[203095],1610612752.0,NYK,running,,,Fournier,E. Fournier,,,,,2.48,Missed,,,,,,,,,,,,,,,,,,
87,PT04M26.00S,2022-01-01T01:26:36.3Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,12,14,2022-01-01T01:26:42Z,870000,,,0,,I. Roby REBOUND (Off:0 Def:4),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,86.0,4.0,4.0,0.0,,,,,,,,,,
88,PT04M24.00S,2022-01-01T01:26:37.7Z,1,REGULAR,turnover,lost ball,[],1629676,,,1610612760,12,14,2022-01-01T01:26:51Z,880000,,,0,,I. Roby lost ball TURNOVER (2 TO),"[1629676, 1629628]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,2.0,Barrett,1629628.0,,,,,,,
