actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
32,PT09M02.00S,2021-11-16T01:13:31.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,5,6,2021-11-16T01:15:00Z,320000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,
33,PT09M02.00S,2021-11-16T01:13:33.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,5,6,2021-11-16T01:13:33Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M57.00S,2021-11-16T01:13:51.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628983,5.863994743758213,59.55882352941176,1610612760,5,6,2021-11-16T01:13:58Z,340000,-48.0,3.0,1,left,MISS S. Gilgeous-Alexander floating Shot,[1628983],1610612760.0,OKC,floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,4.79,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M54.00S,2021-11-16T01:13:54.7Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,5,6,2021-11-16T01:13:58Z,350000,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
36,PT08M48.00S,2021-11-16T01:13:59.1Z,1,REGULAR,3pt,Jump Shot,[],200782,93.9060446780552,96.56862745098039,1610612748,5,9,2021-11-16T01:14:03Z,360000,233.0,5.0,1,right,P. Tucker 3PT  (3 PTS) (K. Lowry 2 AST),"[200782, 200768]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,23.28,Made,,,,,3.0,K. Lowry,200768.0,2.0,,,,,,,,,,,
38,PT08M37.00S,2021-11-16T01:14:10.1Z,1,REGULAR,turnover,lost ball,[],1628983,,,1610612760,5,9,2021-11-16T01:14:13Z,380000,,,0,,S. Gilgeous-Alexander lost ball TURNOVER (1 TO),"[1628983, 203473]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,1.0,Dedmon,203473.0,,,,,,
39,PT08M37.00S,2021-11-16T01:14:10.1Z,1,REGULAR,steal,,[],203473,,,1610612748,5,9,2021-11-16T01:14:12Z,390000,,,0,,D. Dedmon STEAL (1 STL),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M29.00S,2021-11-16T01:14:18.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200782,96.27135348226018,4.901960784313726,1610612748,5,9,2021-11-16T01:14:23Z,400000,-225.0,-17.0,1,right,MISS P. Tucker 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,22.62,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M26.00S,2021-11-16T01:14:21.8Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,5,9,2021-11-16T01:14:23Z,410000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
42,PT08M15.00S,2021-11-16T01:14:33.2Z,1,REGULAR,3pt,Jump Shot,[],1630526,2.7102496714848883,94.85294117647058,1610612760,5,9,2021-11-16T01:14:38Z,420000,-224.0,-27.0,1,left,MISS J. Robinson-Earl 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,22.59,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M11.00S,2021-11-16T01:14:37.2Z,1,REGULAR,rebound,defensive,[],200782,,,1610612748,5,9,2021-11-16T01:14:38Z,430000,,,0,,P. Tucker REBOUND (Off:0 Def:3),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,42.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
44,PT07M56.00S,2021-11-16T01:14:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,92.9862023653088,62.745098039215684,1610612748,5,9,2021-11-16T01:24:10Z,440000,64.0,13.0,1,right,MISS T. Herro 6' driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,6.51,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M54.00S,2021-11-16T01:14:53.8Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,5,9,2021-11-16T01:15:06Z,450000,,,0,,D. Bazley REBOUND (Off:1 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,44.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
46,PT07M45.00S,2021-11-16T01:15:02.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,28.86005256241787,25.0,1610612760,5,9,2021-11-16T01:15:11Z,460000,125.0,219.0,1,left,MISS L. Dort 25' step back 3PT,[1629652],1610612760.0,OKC,step back,,,Dort,L. Dort,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M43.00S,2021-11-16T01:15:04.0Z,1,REGULAR,rebound,defensive,[],203473,,,1610612748,5,9,2021-11-16T01:15:11Z,470000,,,0,,D. Dedmon REBOUND (Off:0 Def:2),[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
48,PT07M23.00S,2021-11-16T01:15:24.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,89.56964520367937,58.08823529411765,1610612748,5,9,2021-11-16T01:15:29Z,480000,40.0,46.0,1,right,MISS T. Herro 6' driving Layup,[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,6.08,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M21.00S,2021-11-16T01:15:26.5Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,5,9,2021-11-16T01:15:29Z,500000,,,0,,J. Giddey REBOUND (Off:0 Def:4),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,48.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
51,PT07M15.00S,2021-11-16T01:15:33.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,7.966491458607096,41.911764705882355,1610612760,5,9,2021-11-16T01:15:37Z,510000,40.0,22.0,1,left,MISS J. Giddey driving Layup,[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,4.62,Missed,,,,,,,,,,,,,,,,,,,
52,PT07M13.00S,2021-11-16T01:15:35.2Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,5,9,2021-11-16T01:15:37Z,520000,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
53,PT07M05.00S,2021-11-16T01:15:43.5Z,1,REGULAR,3pt,Jump Shot,[],1629130,96.13994743758212,4.411764705882353,1610612748,5,9,2021-11-16T01:15:49Z,530000,-228.0,-16.0,1,right,MISS D. Robinson 3PT - blocked,"[1629130, 1629647]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,22.85,Missed,,,,,,,,,Bazley,1629647.0,,,,,,,,,
54,PT07M05.00S,2021-11-16T01:15:43.5Z,1,REGULAR,block,,[],1629647,,,1610612748,5,9,2021-11-16T01:15:47Z,540000,,,0,,D. Bazley BLOCK (1 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M00.00S,2021-11-16T01:15:48.5Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,5,9,2021-11-16T01:15:49Z,550000,,,0,,J. Giddey REBOUND (Off:0 Def:5),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,53.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
56,PT06M56.00S,2021-11-16T01:15:51.1Z,1,REGULAR,3pt,Jump Shot,[],1629652,24.392247043363994,85.7843137254902,1610612760,8,9,2021-11-16T01:16:00Z,560000,-179.0,177.0,1,left,L. Dort 25' 3PT  (8 PTS) (J. Giddey 1 AST),"[1629652, 1630581]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,25.15,Made,,,,,8.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,
58,PT06M48.00S,2021-11-16T01:15:58.9Z,1,REGULAR,3pt,Jump Shot,[],1629639,81.15965834428384,93.38235294117648,1610612748,8,12,2021-11-16T01:16:03Z,580000,217.0,125.0,1,right,T. Herro 25' 3PT  (6 PTS) (K. Lowry 3 AST),"[1629639, 200768]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,25.01,Made,,,,,6.0,K. Lowry,200768.0,3.0,,,,,,,,,,,
60,PT06M45.00S,2021-11-16T01:16:06.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,8,12,2021-11-16T01:16:06Z,600000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M45.00S,2021-11-16T01:17:40.6Z,1,REGULAR,substitution,out,[],203473,,,1610612760,8,12,2021-11-16T01:18:56Z,610000,,,0,,SUB out: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M45.00S,2021-11-16T01:17:40.6Z,1,REGULAR,substitution,in,[],1630209,,,1610612760,8,12,2021-11-16T01:18:56Z,620000,,,0,,SUB in: O. Yurtseven,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M23.00S,2021-11-16T01:19:22.1Z,1,REGULAR,3pt,Jump Shot,[],1628983,24.392247043363994,16.42156862745098,1610612760,8,12,2021-11-16T01:19:27Z,630000,168.0,177.0,1,left,MISS S. Gilgeous-Alexander 24' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,24.38,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M19.00S,2021-11-16T01:19:26.1Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,8,12,2021-11-16T01:19:27Z,640000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
66,PT06M10.00S,2021-11-16T01:19:34.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,90.48948751642575,48.28431372549019,1610612748,8,14,2021-11-16T01:19:38Z,650000,-9.0,37.0,1,right,K. Lowry pullup Jump Shot (2 PTS),[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,3.79,Made,,,,,2.0,,,,,,,,,,,,,,
67,PT05M49.00S,2021-11-16T01:19:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,5.469776609724048,54.65686274509803,1610612760,8,14,2021-11-16T01:20:00Z,660000,-23.0,-1.0,1,left,MISS D. Bazley Layup - blocked,"[1629647, 1630209]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,2.33,Missed,,,,,,,,,Yurtseven,1630209.0,,,,,,,,,
68,PT05M49.00S,2021-11-16T01:19:55.8Z,1,REGULAR,block,,[],1630209,,,1610612760,8,14,2021-11-16T01:19:58Z,670000,,,0,,O. Yurtseven BLOCK (1 BLK),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M46.00S,2021-11-16T01:19:58.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,8,14,2021-11-16T01:20:00Z,680000,,,0,,T. Herro REBOUND (Off:0 Def:3),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,67.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
70,PT05M43.00S,2021-11-16T01:20:03.0Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,8,14,2021-11-16T01:20:08Z,690000,,,0,,T. Herro bad pass out-of-bounds TURNOVER (1 TO),[1629639],1610612748.0,MIA,bad pass,,,Herro,T. Herro,,,,,,,,,,,,,,,,,1.0,,,201638.0,,,,,
71,PT05M30.00S,2021-11-16T01:20:22.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630581,8.886333771353483,38.970588235294116,1610612760,10,14,2021-11-16T01:20:27Z,700000,55.0,31.0,1,left,J. Giddey 6' floating Jump Shot (2 PTS),[1630581],1610612760.0,OKC,floating,,,Giddey,J. Giddey,,,,,6.32,Made,,,,,2.0,,,,,,,,,,,,,,
72,PT05M15.00S,2021-11-16T01:20:39.4Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,10,14,2021-11-16T01:20:45Z,710000,,,0,,K. Lowry bad pass out-of-bounds TURNOVER (1 TO),[200768],1610612748.0,MIA,bad pass,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,1.0,,,201638.0,,,,,
73,PT05M15.00S,2021-11-16T01:20:42.1Z,1,REGULAR,substitution,out,[],1629647,,,1610612760,10,14,2021-11-16T01:20:51Z,720000,,,0,,SUB out: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M15.00S,2021-11-16T01:20:42.1Z,1,REGULAR,substitution,out,[],1629639,,,1610612760,10,14,2021-11-16T01:20:51Z,730000,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M15.00S,2021-11-16T01:20:42.1Z,1,REGULAR,substitution,in,[],1630598,,,1610612760,10,14,2021-11-16T01:20:51Z,740000,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M15.00S,2021-11-16T01:20:42.1Z,1,REGULAR,substitution,in,[],1629622,,,1610612760,10,14,2021-11-16T01:20:51Z,750000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M04.00S,2021-11-16T01:21:11.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630526,31.61957950065703,51.71568627450981,1610612760,13,14,2021-11-16T01:21:15Z,760000,-9.0,245.0,1,left,J. Robinson-Earl 24' 3PT  (3 PTS) (J. Giddey 2 AST),"[1630526, 1630581]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,24.49,Made,,,,,3.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,
79,PT04M52.00S,2021-11-16T01:21:23.3Z,1,REGULAR,2pt,Jump Shot,[],1630209,78.53153745072274,63.48039215686274,1610612748,13,14,2021-11-16T01:21:28Z,780000,67.0,149.0,1,right,MISS O. Yurtseven 16' Jump Shot,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,16.38,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M49.00S,2021-11-16T01:21:26.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,13,14,2021-11-16T01:21:28Z,790000,,,0,,J. Giddey REBOUND (Off:0 Def:6),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,79.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
81,PT04M44.00S,2021-11-16T01:21:31.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629652,5.206964520367937,53.431372549019606,1610612760,15,14,2021-11-16T01:21:35Z,800000,-17.0,-4.0,1,left,L. Dort Layup (10 PTS) (J. Robinson-Earl 2 AST),"[1629652, 1630526]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,1.76,Made,,,,,10.0,J. Robinson-Earl,1630526.0,2.0,,,,,,,,,,,
83,PT04M39.00S,2021-11-16T01:21:36.1Z,1,REGULAR,3pt,Jump Shot,[],1629130,77.21747700394218,90.19607843137256,1610612748,15,14,2021-11-16T01:21:42Z,820000,201.0,162.0,1,right,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,,
84,PT04M36.00S,2021-11-16T01:21:39.1Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,15,14,2021-11-16T01:21:42Z,830000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
85,PT04M30.00S,2021-11-16T01:21:45.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,7.178055190538765,58.82352941176471,1610612760,17,14,2021-11-16T01:21:49Z,840000,-44.0,15.0,1,left,S. Gilgeous-Alexander driving Layup (2 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,4.66,Made,,,,,2.0,,,,,,,,,,,,,,
