actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
21,PT10M53.00S,2021-10-27T00:12:04.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,2,0,2021-10-27T00:12:04Z,200000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
22,PT10M53.00S,2021-10-27T00:12:06.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,2,0,2021-10-27T00:12:06Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M44.00S,2021-10-27T00:12:18.3Z,1,REGULAR,3pt,Jump Shot,[],1630526,32.276609724047304,55.392156862745104,1610612760,5,0,2021-10-27T00:12:23Z,220000,-27.0,251.0,1,left,J. Robinson-Earl 25' 3PT  (5 PTS) (L. Dort 1 AST),"[1630526, 1629652]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,25.23,Made,,,,,,,,,,,5.0,L. Dort,1629652.0,1.0,,,,,
25,PT10M22.00S,2021-10-27T00:12:39.8Z,1,REGULAR,3pt,Jump Shot,[],1629673,70.77858081471747,20.833333333333336,1610612744,5,0,2021-10-27T00:12:45Z,240000,-146.0,222.0,1,right,MISS J. Poole 26' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,26.58,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M18.00S,2021-10-27T00:12:43.8Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,5,0,2021-10-27T00:12:45Z,250000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,25.0,,,1.0,1.0,0.0,,,,,,,,,,,
27,PT10M05.00S,2021-10-27T00:12:56.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629647,6.652431011826544,50.0,1610612760,7,0,2021-10-27T00:13:02Z,260000,0.0,10.0,1,left,D. Bazley driving DUNK (2 PTS) (L. Dort 2 AST),"[1629647, 1629652]",1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,1.0,Made,,,,,,,,,,,2.0,L. Dort,1629652.0,2.0,,,,,
29,PT09M50.00S,2021-10-27T00:13:12.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,92.19776609724047,43.38235294117647,1610612744,7,0,2021-10-27T00:13:16Z,280000,-33.0,21.0,1,right,MISS J. Poole driving Layup,[1629673],1610612744.0,GSW,driving,,,Poole,J. Poole,,,,,3.91,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M48.00S,2021-10-27T00:13:14.5Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,7,0,2021-10-27T00:13:16Z,290000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,29.0,,,2.0,2.0,0.0,,,,,,,,,,,
31,PT09M28.00S,2021-10-27T00:13:34.6Z,1,REGULAR,2pt,Jump Shot,[],1629652,22.552562417871222,22.54901960784314,1610612760,7,0,2021-10-27T00:13:40Z,300000,137.0,159.0,1,left,MISS L. Dort 21' pullup Shot,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,21.05,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M23.00S,2021-10-27T00:13:39.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,7,0,2021-10-27T00:13:40Z,310000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,31.0,,,1.0,1.0,0.0,,,,,,,,,,,
33,PT09M09.00S,2021-10-27T00:13:53.3Z,1,REGULAR,2pt,Jump Shot,[],1629673,77.7431011826544,41.42156862745098,1610612744,7,2,2021-10-27T00:13:58Z,320000,-43.0,157.0,1,right,J. Poole 16' Jump Shot (2 PTS) (D. Green 1 AST),"[1629673, 203110]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,16.25,Made,,,,,,,,,,,2.0,D. Green,203110.0,1.0,,,,,
35,PT08M44.00S,2021-10-27T00:14:17.8Z,1,REGULAR,3pt,Jump Shot,[],1630526,8.886333771353483,3.9215686274509802,1610612760,7,2,2021-10-27T00:14:22Z,340000,230.0,31.0,1,left,MISS J. Robinson-Earl 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,23.25,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M41.00S,2021-10-27T00:14:20.8Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,7,2,2021-10-27T00:14:22Z,350000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,35.0,,,1.0,1.0,0.0,,,,,,,,,,,
37,PT08M38.00S,2021-10-27T00:14:24.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629673,94.30026281208936,51.71568627450981,1610612744,7,4,2021-10-27T00:14:30Z,360000,9.0,1.0,1,right,J. Poole cutting Layup (4 PTS) (D. Green 2 AST),"[1629673, 203110]",1610612744.0,GSW,cutting,,,Poole,J. Poole,,,,,0.87,Made,,,,,,,,,,,4.0,D. Green,203110.0,2.0,,,,,
39,PT08M19.00S,2021-10-27T00:14:43.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,9.806176084099869,58.82352941176471,1610612760,7,4,2021-10-27T00:14:49Z,380000,-44.0,40.0,1,left,MISS J. Giddey Layup - blocked,"[1630581, 1629673]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,5.93,Missed,Poole,1629673.0,,,,,,,,,,,,,,,,,
40,PT08M19.00S,2021-10-27T00:14:43.1Z,1,REGULAR,block,,[],1629673,,,1610612760,7,4,2021-10-27T00:14:45Z,390000,,,0,,J. Poole BLOCK (1 BLK),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M16.00S,2021-10-27T00:14:46.1Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,7,4,2021-10-27T00:14:49Z,400000,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,39.0,,,1.0,0.0,1.0,,,,,,,,,,,
42,PT08M15.00S,2021-10-27T00:14:46.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630581,6.389618922470433,53.67647058823529,1610612760,9,4,2021-10-27T00:20:06Z,410000,-18.0,8.0,1,left,J. Giddey putback Layup (2 PTS),[1630581],1610612760.0,OKC,putback,,,Giddey,J. Giddey,,,,,1.99,Made,,,,,,,,,,,2.0,,,,,,,,
43,PT08M12.00S,2021-10-27T00:14:50.6Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,9,4,2021-10-27T00:15:09Z,420000,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1628983]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,1.0,,,,Gilgeous-Alexander,1628983.0,,,,,,,,,
44,PT08M12.00S,2021-10-27T00:14:50.6Z,1,REGULAR,steal,,[],1628983,,,1610612760,9,4,2021-10-27T00:14:52Z,430000,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M07.00S,2021-10-27T00:14:57.6Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612760,9,4,2021-10-27T00:15:08Z,440000,,,0,,D. Green shooting personal FOUL (1 PF) (Dort 2 FT),"[203110, 1629652]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,,,,,,1155.0,,,,,,,,,,,1.0,0.0,Dort,1629652.0,
47,PT08M07.00S,2021-10-27T00:15:23.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629652,,,1610612760,10,4,2021-10-27T00:15:23Z,460000,,,0,,L. Dort Free Throw 1 of 2 (1 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,Made,,,,,,,,,,,1.0,,,,,,,,
48,PT08M07.00S,2021-10-27T00:15:39.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629652,,,1610612760,11,4,2021-10-27T00:15:39Z,470000,,,0,,L. Dort Free Throw 2 of 2 (2 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,Made,,,,,,,,,,,2.0,,,,,,,,
49,PT07M58.00S,2021-10-27T00:15:51.0Z,1,REGULAR,3pt,Jump Shot,[],201939,76.95466491458606,87.74509803921569,1610612744,11,4,2021-10-27T00:15:56Z,480000,189.0,164.0,1,right,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,25.01,Missed,,,,,,,,,,,,,,,,,,,
50,PT07M55.00S,2021-10-27T00:15:54.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,11,4,2021-10-27T00:15:56Z,490000,,,0,,J. Giddey REBOUND (Off:1 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,49.0,,,2.0,1.0,1.0,,,,,,,,,,,
51,PT07M43.00S,2021-10-27T00:16:06.1Z,1,REGULAR,2pt,Jump Shot,[],1628983,20.844283837056505,56.372549019607845,1610612760,13,4,2021-10-27T00:21:58Z,500000,-32.0,143.0,1,left,S. Gilgeous-Alexander 14' step back Jump Shot (2 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,14.69,Made,,,,,,,,,,,2.0,,,,,,,,
52,PT07M35.00S,2021-10-27T00:16:14.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,68.80749014454665,17.15686274509804,1610612744,13,4,2021-10-27T00:16:19Z,510000,-164.0,241.0,1,right,MISS J. Poole 29' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,29.14,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M32.00S,2021-10-27T00:16:17.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,13,4,2021-10-27T00:16:19Z,520000,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,52.0,,,3.0,2.0,1.0,,,,,,,,,,,
54,PT07M23.00S,2021-10-27T00:16:27.6Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612760,13,4,2021-10-27T00:16:47Z,530000,,,0,,K. Looney shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1626172, 1628983]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,202049.0,,,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,
56,PT07M23.00S,2021-10-27T00:16:54.8Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,13,4,2021-10-27T00:16:54Z,550000,,,0,,MISS S. Gilgeous-Alexander Free Throw 1 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M23.00S,2021-10-27T00:16:54.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,13,4,2021-10-27T00:16:54Z,560000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,
58,PT07M23.00S,2021-10-27T00:17:08.1Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,14,4,2021-10-27T00:17:08Z,570000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (3 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Made,,,,,,,,,,,3.0,,,,,,,,
59,PT07M09.00S,2021-10-27T00:17:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,90.48948751642575,49.754901960784316,1610612744,14,4,2021-10-27T00:17:35Z,580000,-1.0,37.0,1,right,MISS A. Wiggins driving Layup,[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,3.69,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M04.00S,2021-10-27T00:17:29.3Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,14,4,2021-10-27T00:17:35Z,590000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,59.0,,,1.0,0.0,1.0,,,,,,,,,,,
61,PT07M04.00S,2021-10-27T00:17:28.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203952,94.40999984741211,50.0,1610612744,14,6,2021-10-27T00:17:28Z,600000,0.0,0.0,1,right,A. Wiggins tip Layup (2 PTS),[203952],1610612744.0,GSW,tip,,,Wiggins,A. Wiggins,,,,,0.0,Made,,,,,,,,,,,2.0,,,,,,,,
62,PT06M42.00S,2021-10-27T00:17:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.1268068331143235,49.754901960784316,1610612760,14,6,2021-10-27T00:17:58Z,610000,1.0,5.0,1,left,MISS J. Giddey cutting Layup,[1630581],1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,0.52,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M38.00S,2021-10-27T00:17:54.9Z,1,REGULAR,rebound,offensive,[],1629647,,,1610612760,14,6,2021-10-27T00:17:54Z,620000,,,0,,D. Bazley REBOUND (Off:1 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,62.0,,,3.0,2.0,1.0,,,,,,,,,,,
64,PT06M38.00S,2021-10-27T00:17:54.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629647,5.590000152587891,50.0,1610612760,16,6,2021-10-27T00:17:54Z,630000,0.0,0.0,1,left,D. Bazley tip DUNK (4 PTS),[1629647],1610612760.0,OKC,tip,,,Bazley,D. Bazley,,,,,0.0,Made,,,,,,,,,,,4.0,,,,,,,,
65,PT06M34.00S,2021-10-27T00:18:03.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,16,6,2021-10-27T00:18:03Z,640000,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M24.00S,2021-10-27T00:21:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,88.25558475689881,53.18627450980392,1610612744,16,6,2021-10-27T00:21:28Z,650000,16.0,58.0,1,right,MISS A. Wiggins 6' floating Shot,[203952],1610612744.0,GSW,floating,,,Wiggins,A. Wiggins,,,,,6.0,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M22.00S,2021-10-27T00:21:16.9Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,16,6,2021-10-27T00:21:28Z,660000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,66.0,,,2.0,1.0,1.0,,,,,,,,,,,
68,PT06M21.00S,2021-10-27T00:21:18.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626172,93.24901445466492,50.73529411764706,1610612744,16,8,2021-10-27T00:25:38Z,670000,4.0,11.0,1,right,K. Looney putback Layup (2 PTS),[1626172],1610612744.0,GSW,putback,,,Looney,K. Looney,,,,,1.16,Made,,,,,,,,,,,2.0,,,,,,,,
69,PT06M07.00S,2021-10-27T00:21:31.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,12.171484888304862,4.901960784313726,1610612760,19,8,2021-10-27T00:21:47Z,680000,225.0,62.0,1,left,L. Dort 3PT  (5 PTS) (J. Robinson-Earl 1 AST),"[1629652, 1630526]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,23.38,Made,,,,,,,,,,,5.0,J. Robinson-Earl,1630526.0,1.0,,,,,
71,PT05M53.00S,2021-10-27T00:21:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,93.51182654402102,46.568627450980394,1610612744,19,10,2021-10-27T00:28:49Z,700000,-17.0,8.0,1,right,D. Green driving Layup (2 PTS) (S. Curry 1 AST),"[203110, 201939]",1610612744.0,GSW,driving,,,Green,D. Green,,,,,1.92,Made,,,,,,,,,,,2.0,S. Curry,201939.0,1.0,,,,,
72,PT05M38.00S,2021-10-27T00:22:00.0Z,1,REGULAR,2pt,Jump Shot,[],1628983,3.630091984231275,76.9607843137255,1610612760,21,10,2021-10-27T00:22:05Z,710000,-135.0,-18.0,1,left,S. Gilgeous-Alexander 13' step back Jump Shot (5 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,13.6,Made,,,,,,,,,,,5.0,,,,,,,,
73,PT05M27.00S,2021-10-27T00:22:11.1Z,1,REGULAR,2pt,Jump Shot,[],201939,75.90341655716163,26.96078431372549,1610612744,21,12,2021-10-27T00:22:15Z,720000,-115.0,174.0,1,right,S. Curry 20' pullup Jump Shot (2 PTS),[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,20.87,Made,,,,,,,,,,,2.0,,,,,,,,
74,PT05M08.00S,2021-10-27T00:22:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,7.835085413929041,42.8921568627451,1610612760,21,12,2021-10-27T00:22:34Z,730000,36.0,21.0,1,left,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,4.13,Missed,,,,,,,,,,,,,,,,,,,
75,PT05M06.00S,2021-10-27T00:22:32.8Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,21,12,2021-10-27T00:22:34Z,740000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,74.0,,,1.0,1.0,0.0,,,,,,,,,,,
76,PT05M01.00S,2021-10-27T00:22:38.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203952,92.85479632063075,50.73529411764706,1610612744,21,14,2021-10-27T00:22:47Z,750000,4.0,15.0,1,right,A. Wiggins cutting DUNK (4 PTS) (J. Poole 1 AST),"[203952, 1629673]",1610612744.0,GSW,cutting,,,Wiggins,A. Wiggins,,,,,1.52,Made,,,,,,,,,,,4.0,J. Poole,1629673.0,1.0,,,,,
78,PT04M32.00S,2021-10-27T00:23:06.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,5.995400788436268,52.69607843137255,1610612760,23,14,2021-10-27T00:23:12Z,770000,-13.0,4.0,1,left,J. Robinson-Earl driving Layup (7 PTS) (S. Gilgeous-Alexander 1 AST),"[1630526, 1628983]",1610612760.0,OKC,driving,,,Robinson-Earl,J. Robinson-Earl,,,,,1.41,Made,,,,,,,,,,,7.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,
80,PT04M17.00S,2021-10-27T00:23:22.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,92.85479632063075,47.794117647058826,1610612744,23,16,2021-10-27T00:32:01Z,790000,-11.0,15.0,1,right,S. Curry driving finger roll Layup (4 PTS) (D. Green 3 AST),"[201939, 203110]",1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,1.84,Made,,,,,,,,,,,4.0,D. Green,203110.0,3.0,,,,,
81,PT04M09.00S,2021-10-27T00:23:33.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,23,16,2021-10-27T00:23:33Z,800000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M09.00S,2021-10-27T00:26:02.4Z,1,REGULAR,substitution,out,[],1629647,,,1610612760,23,16,2021-10-27T00:26:19Z,810000,,,0,,SUB out: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M09.00S,2021-10-27T00:26:02.4Z,1,REGULAR,substitution,out,[],1630581,,,1610612760,23,16,2021-10-27T00:26:19Z,820000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M09.00S,2021-10-27T00:26:02.4Z,1,REGULAR,substitution,out,[],203952,,,1610612760,23,16,2021-10-27T00:26:19Z,830000,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
