actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
26,PT10M16.00S,2022-04-02T00:13:05.4Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,3,0,2022-04-02T00:13:11Z,250000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,25.0,,,1.0,1.0,0.0,,,,,,,,,,,,
27,PT10M13.00S,2022-04-02T00:13:09.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630180,91.93495400788436,39.950980392156865,1610612765,3,2,2022-04-02T00:15:24Z,260000,-50.0,23.0,1,right,S. Bey running Layup (2 PTS) (K. Hayes 1 AST),"[1630180, 1630165]",1610612765.0,DET,running,,,Bey,S. Bey,,,,,5.53,Made,,,,,,,2.0,K. Hayes,1630165.0,1.0,,,,,,,,
28,PT10M13.00S,2022-04-02T00:13:13.5Z,1,REGULAR,foul,personal,['1freethrow'],1629676,,,1610612765,3,2,2022-04-02T00:13:26Z,270000,,,0,,I. Roby shooting personal FOUL (1 PF) (Bey 1 FT),"[1629676, 1630180]",1610612760.0,OKC,shooting,,,Roby,I. Roby,,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Bey,1630180.0,,,
30,PT10M13.00S,2022-04-02T00:13:32.6Z,1,REGULAR,freethrow,1 of 1,[],1630180,,,1610612765,3,3,2022-04-02T00:13:32Z,290000,,,0,,S. Bey Free Throw 1 of 1 (3 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
32,PT09M59.00S,2022-04-02T00:13:47.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629676,11.908672798948752,53.67647058823529,1610612760,3,3,2022-04-02T00:14:08Z,300000,-18.0,59.0,1,left,MISS I. Roby 6' turnaround Hook,[1629676],1610612760.0,OKC,turnaround,,,Roby,I. Roby,,,,,6.22,Missed,,,,,,,,,,,,,,,,,,
33,PT09M55.00S,2022-04-02T00:13:51.6Z,1,REGULAR,rebound,defensive,[],1630587,,,1610612765,3,3,2022-04-02T00:13:51Z,310000,,,0,,I. Livers REBOUND (Off:0 Def:2),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,32.0,,,2.0,2.0,0.0,,,,,,,,,,,,
34,PT09M49.00S,2022-04-02T00:13:56.8Z,1,REGULAR,3pt,Jump Shot,[],1630165,77.87450722733246,92.64705882352942,1610612765,3,3,2022-04-02T00:14:02Z,320000,213.0,155.0,1,right,MISS K. Hayes 26' 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,26.39,Missed,,,,,,,,,,,,,,,,,,
35,PT09M49.00S,2022-04-02T00:13:56.8Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612760,3,3,2022-04-02T00:14:02Z,330000,,,0,,V. Krejci REBOUND (Off:0 Def:2),[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,,,34.0,,,2.0,2.0,0.0,,,,,,,,,,,,
36,PT09M30.00S,2022-04-02T00:14:15.6Z,1,REGULAR,3pt,Jump Shot,[],1630177,25.837713534822605,85.5392156862745,1610612760,6,3,2022-04-02T00:14:19Z,340000,-178.0,190.0,1,left,T. Maledon 26' 3PT  (4 PTS) (J. Hoard 1 AST),"[1630177, 1629658]",1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,26.04,Made,,,,,,,4.0,J. Hoard,1629658.0,1.0,,,,,,,,
38,PT09M11.00S,2022-04-02T00:14:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,86.94152431011827,39.950980392156865,1610612765,6,5,2022-04-02T00:17:41Z,360000,-50.0,70.0,1,right,K. Hayes 8' driving floating Jump Shot (2 PTS) (I. Stewart 1 AST),"[1630165, 1630191]",1610612765.0,DET,driving floating,,,Hayes,K. Hayes,,,,,8.63,Made,,,,,,,2.0,I. Stewart,1630191.0,1.0,,,,,,,,
40,PT08M50.00S,2022-04-02T00:14:56.3Z,1,REGULAR,turnover,lost ball,[],1630177,,,1610612760,6,5,2022-04-02T00:14:59Z,380000,,,0,,T. Maledon lost ball TURNOVER (1 TO),"[1630177, 1630165]",1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,1.0,Hayes,1630165.0
41,PT08M50.00S,2022-04-02T00:14:56.3Z,1,REGULAR,steal,,[],1630165,,,1610612765,6,5,2022-04-02T00:14:58Z,390000,,,0,,K. Hayes STEAL (1 STL),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M45.00S,2022-04-02T00:15:01.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630165,91.01511169513797,46.07843137254902,1610612765,6,5,2022-04-02T00:18:47Z,400000,-20.0,32.0,1,right,MISS K. Hayes running Layup,[1630165],1610612765.0,DET,running,,,Hayes,K. Hayes,,,,,3.75,Missed,,,,,,,,,,,,,,,,,,
43,PT08M43.00S,2022-04-02T00:15:03.7Z,1,REGULAR,rebound,defensive,[],1630177,,,1610612760,6,5,2022-04-02T00:15:08Z,410000,,,0,,T. Maledon REBOUND (Off:0 Def:2),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,42.0,,,2.0,2.0,0.0,,,,,,,,,,,,
44,PT08M34.00S,2022-04-02T00:15:12.6Z,1,REGULAR,3pt,Jump Shot,[],1630249,33.196452036793694,59.55882352941176,1610612760,6,5,2022-04-02T00:15:18Z,420000,-48.0,260.0,1,left,MISS V. Krejci 26' 3PT,[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,26.39,Missed,,,,,,,,,,,,,,,,,,
45,PT08M30.00S,2022-04-02T00:15:16.9Z,1,REGULAR,rebound,offensive,[],1629658,,,1610612760,6,5,2022-04-02T00:15:16Z,430000,,,0,,J. Hoard REBOUND (Off:1 Def:0),[1629658],1610612760.0,OKC,,,,Hoard,J. Hoard,,,,,,,44.0,,,1.0,0.0,1.0,,,,,,,,,,,,
46,PT08M26.00S,2022-04-02T00:15:21.5Z,1,REGULAR,foul,personal,['2freethrow'],1630165,,,1610612760,6,5,2022-04-02T00:15:31Z,440000,,,0,,K. Hayes shooting personal FOUL (1 PF) (Roby 2 FT),"[1630165, 1629676]",1610612765.0,DET,shooting,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Roby,1629676.0,,,
48,PT08M26.00S,2022-04-02T00:15:46.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629676,,,1610612760,7,5,2022-04-02T00:15:46Z,460000,,,0,,I. Roby Free Throw 1 of 2 (1 PTS),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
49,PT08M26.00S,2022-04-02T00:15:59.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629676,,,1610612760,8,5,2022-04-02T00:15:59Z,470000,,,0,,I. Roby Free Throw 2 of 2 (2 PTS),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
50,PT08M04.00S,2022-04-02T00:16:24.3Z,1,REGULAR,3pt,Jump Shot,[],1630165,67.62483574244416,28.921568627450984,1610612765,8,8,2022-04-02T00:16:28Z,480000,-105.0,252.0,1,right,K. Hayes 27' 3PT  (5 PTS) (I. Livers 1 AST),"[1630165, 1630587]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,27.3,Made,,,,,,,5.0,I. Livers,1630587.0,1.0,,,,,,,,
52,PT07M49.00S,2022-04-02T00:16:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,6.915243101182654,59.068627450980394,1610612760,8,8,2022-04-02T00:16:41Z,500000,-45.0,13.0,1,left,MISS A. Wiggins driving Layup,[1630598],1610612760.0,OKC,driving,,,Wiggins,A. Wiggins,,,,,4.7,Missed,,,,,,,,,,,,,,,,,,
53,PT07M47.00S,2022-04-02T00:16:40.6Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,8,8,2022-04-02T00:16:41Z,510000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,52.0,,,1.0,1.0,0.0,,,,,,,,,,,,
54,PT07M39.00S,2022-04-02T00:16:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,92.9862023653088,42.64705882352941,1610612765,8,10,2022-04-02T00:16:51Z,520000,-37.0,13.0,1,right,I. Stewart Layup (2 PTS) (I. Livers 2 AST),"[1630191, 1630587]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,3.92,Made,,,,,,,2.0,I. Livers,1630587.0,2.0,,,,,,,,
56,PT07M17.00S,2022-04-02T00:17:10.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629676,9.806176084099869,45.588235294117645,1610612760,8,10,2022-04-02T00:17:48Z,540000,22.0,40.0,1,left,MISS I. Roby driving DUNK,[1629676],1610612760.0,OKC,driving,,,Roby,I. Roby,,,,,4.54,Missed,,,,,,,,,,,,,,,,,,
57,PT07M16.00S,2022-04-02T00:17:11.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,8,10,2022-04-02T00:21:06Z,550000,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,
58,PT07M16.00S,2022-04-02T00:17:18.5Z,1,REGULAR,foul,personal,[],1629676,,,1610612765,8,10,2022-04-02T00:21:33Z,560000,,,0,,I. Roby loose ball personal FOUL (2 PF),"[1629676, 1630595]",1610612760.0,OKC,loose ball,,,Roby,I. Roby,,,,,,,,,,,,,,,,,202053.0,2.0,0.0,Cunningham,1630595.0,,,
61,PT07M02.00S,2022-04-02T00:17:43.6Z,1,REGULAR,foul,offensive,[],1630595,,,1610612765,8,10,2022-04-02T00:22:25Z,590000,,,0,,C. Cunningham offensive FOUL (1 PF),"[1630595, 1630249]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,202053.0,1.0,0.0,Krejci,1630249.0,,,
63,PT07M02.00S,2022-04-02T00:17:43.6Z,1,REGULAR,turnover,offensive foul,[],1630595,,,1610612765,8,10,2022-04-02T00:17:43Z,610000,,,0,,C. Cunningham offensive foul TURNOVER (1 TO),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,202053.0,,,,,1.0,,
64,PT06M50.00S,2022-04-02T00:18:09.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629676,7.966491458607096,46.81372549019608,1610612760,10,10,2022-04-02T00:18:13Z,620000,16.0,22.0,1,left,I. Roby DUNK (4 PTS) (T. Maledon 1 AST),"[1629676, 1630177]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,2.75,Made,,,,,,,4.0,T. Maledon,1630177.0,1.0,,,,,,,,
66,PT06M35.00S,2022-04-02T00:18:25.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630165,86.5473061760841,44.6078431372549,1610612765,10,10,2022-04-02T00:18:29Z,640000,-27.0,74.0,1,right,MISS K. Hayes 7' driving Layup,[1630165],1610612765.0,DET,driving,,,Hayes,K. Hayes,,,,,7.88,Missed,,,,,,,,,,,,,,,,,,
67,PT06M32.00S,2022-04-02T00:18:28.6Z,1,REGULAR,rebound,offensive,[],1630165,,,1610612765,10,10,2022-04-02T00:18:29Z,650000,,,0,,K. Hayes REBOUND (Off:1 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,66.0,,,2.0,1.0,1.0,,,,,,,,,,,,
68,PT06M32.00S,2022-04-02T00:18:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630165,94.40999984741211,50.0,1610612765,10,12,2022-04-02T00:18:29Z,660000,0.0,0.0,1,right,K. Hayes tip Layup (7 PTS),[1630165],1610612765.0,DET,tip,,,Hayes,K. Hayes,,,,,0.0,Made,,,,,,,7.0,,,,,,,,,,,
69,PT06M11.00S,2022-04-02T00:18:48.7Z,1,REGULAR,3pt,Jump Shot,[],1629658,24.26084099868594,88.72549019607843,1610612760,13,12,2022-04-02T00:18:52Z,670000,-194.0,176.0,1,left,J. Hoard 26' 3PT  (5 PTS) (V. Krejci 2 AST),"[1629658, 1630249]",1610612760.0,OKC,,,,Hoard,J. Hoard,,,,,26.14,Made,,,,,,,5.0,V. Krejci,1630249.0,2.0,,,,,,,,
71,PT06M03.00S,2022-04-02T00:18:56.9Z,1,REGULAR,3pt,Jump Shot,[],1630595,94.1688567674113,96.81372549019608,1610612765,13,12,2022-04-02T00:19:02Z,690000,234.0,2.0,1,right,MISS C. Cunningham 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,
72,PT05M59.00S,2022-04-02T00:19:00.9Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,13,12,2022-04-02T00:19:02Z,700000,,,0,,I. Roby REBOUND (Off:0 Def:2),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,71.0,,,2.0,2.0,0.0,,,,,,,,,,,,
73,PT05M55.00S,2022-04-02T00:19:05.3Z,1,REGULAR,3pt,Jump Shot,[],1630177,25.04927726675427,86.51960784313727,1610612760,13,12,2022-04-02T00:25:13Z,710000,-183.0,183.0,1,left,MISS T. Maledon 25' pullup 3PT,[1630177],1610612760.0,OKC,pullup,,,Maledon,T. Maledon,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,
74,PT05M51.00S,2022-04-02T00:19:09.3Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,13,12,2022-04-02T00:19:13Z,720000,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,73.0,,,2.0,2.0,0.0,,,,,,,,,,,,
75,PT05M51.00S,2022-04-02T00:19:14.3Z,1,REGULAR,foul,personal,[],1630249,,,1610612765,13,12,2022-04-02T00:19:19Z,730000,,,0,,V. Krejci take personal FOUL (1 PF),"[1630249, 1630595]",1610612760.0,OKC,take,,,Krejci,V. Krejci,,,,,,,,,,,,,,,,,202053.0,1.0,0.0,Cunningham,1630595.0,,,
77,PT05M51.00S,2022-04-02T00:19:22.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,13,12,2022-04-02T00:19:22Z,750000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M51.00S,2022-04-02T00:21:37.5Z,1,REGULAR,substitution,out,[],1630180,,,1610612765,13,12,2022-04-02T00:21:57Z,760000,,,0,,SUB out: S. Bey,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M51.00S,2022-04-02T00:21:37.5Z,1,REGULAR,substitution,out,[],1630191,,,1610612765,13,12,2022-04-02T00:21:57Z,770000,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M51.00S,2022-04-02T00:21:37.5Z,1,REGULAR,substitution,in,[],1630296,,,1610612765,13,12,2022-04-02T00:21:57Z,780000,,,0,,SUB in: B. Key,[1630296],1610612765.0,DET,,,,Key,B. Key,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M51.00S,2022-04-02T00:21:37.5Z,1,REGULAR,substitution,in,[],1630691,,,1610612765,13,12,2022-04-02T00:21:57Z,790000,,,0,,SUB in: J. Pickett,[1630691],1610612765.0,DET,,,,Pickett,J. Pickett,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M36.00S,2022-04-02T00:22:24.1Z,1,REGULAR,2pt,Jump Shot,[],1630595,75.1149802890933,40.19607843137255,1610612765,13,14,2022-04-02T00:26:48Z,800000,-49.0,181.0,1,right,C. Cunningham 18' pullup Jump Shot (2 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,18.79,Made,,,,,,,2.0,,,,,,,,,,,
83,PT05M19.00S,2022-04-02T00:22:41.6Z,1,REGULAR,foul,personal,['2freethrow'],1630296,,,1610612760,13,14,2022-04-02T00:22:52Z,810000,,,0,,B. Key shooting personal FOUL (1 PF) (Roby 2 FT),"[1630296, 1629676]",1610612765.0,DET,shooting,,,Key,B. Key,,,,,,,,,,,,,,,,,202053.0,1.0,0.0,Roby,1629676.0,,,
85,PT05M19.00S,2022-04-02T00:23:07.7Z,1,REGULAR,freethrow,1 of 2,[],1629676,,,1610612760,13,14,2022-04-02T00:23:28Z,830000,,,0,,MISS I. Roby Free Throw 1 of 2,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,Missed,,,,,,,,,,,,,,,,,,
86,PT05M19.00S,2022-04-02T00:23:07.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,13,14,2022-04-02T00:23:28Z,840000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,
87,PT05M19.00S,2022-04-02T00:23:09.9Z,1,REGULAR,substitution,out,[],1630598,,,1610612760,13,14,2022-04-02T00:23:13Z,850000,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M19.00S,2022-04-02T00:23:09.9Z,1,REGULAR,substitution,in,[],1630526,,,1610612760,13,14,2022-04-02T00:23:13Z,860000,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M19.00S,2022-04-02T00:23:07.7Z,1,REGULAR,freethrow,2 of 2,[],1629676,,,1610612760,13,14,2022-04-02T00:23:28Z,870000,,,0,,MISS I. Roby Free Throw 2 of 2,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,Missed,,,,,,,,,,,,,,,,,,
90,PT05M17.00S,2022-04-02T00:23:09.7Z,1,REGULAR,rebound,defensive,[],1630587,,,1610612765,13,14,2022-04-02T00:23:28Z,880000,,,0,,I. Livers REBOUND (Off:0 Def:3),[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,89.0,,,3.0,3.0,0.0,,,,,,,,,,,,
91,PT05M06.00S,2022-04-02T00:23:38.4Z,1,REGULAR,3pt,Jump Shot,[],1630691,76.2976346911958,9.558823529411764,1610612765,13,14,2022-04-02T00:23:42Z,890000,-202.0,170.0,1,right,MISS J. Pickett 26' 3PT,[1630691],1610612765.0,DET,,,,Pickett,J. Pickett,,,,,26.44,Missed,,,,,,,,,,,,,,,,,,
92,PT05M02.00S,2022-04-02T00:23:42.4Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,13,14,2022-04-02T00:23:42Z,900000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,91.0,,,1.0,1.0,0.0,,,,,,,,,,,,
93,PT04M55.00S,2022-04-02T00:23:48.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629676,9.149145860709593,54.41176470588235,1610612760,15,14,2022-04-02T00:28:50Z,910000,-22.0,34.0,1,left,I. Roby cutting DUNK (6 PTS) (J. Robinson-Earl 1 AST),"[1629676, 1630526]",1610612760.0,OKC,cutting,,,Roby,I. Roby,,,,,4.01,Made,,,,,,,6.0,J. Robinson-Earl,1630526.0,1.0,,,,,,,,
