actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
23,PT10M21.00S,2022-01-10T00:12:24.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203115,89.83245729303549,55.88235294117647,1610612743,0,7,2022-01-10T00:12:31Z,220000,29.0,43.0,1,right,W. Barton driving Layup (5 PTS) (N. Jokic 2 AST),"[203115, 203999]",1610612743.0,DEN,driving,,,Barton,W. Barton,,,,,,,,,,,5.22,Made,,,,,5.0,N. Jokic,203999.0,2.0,,,,
25,PT10M12.00S,2022-01-10T00:12:33.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202324,18.873193166885677,51.225490196078425,1610612760,2,7,2022-01-10T00:12:38Z,240000,-6.0,125.0,1,left,D. Favors 12' Jump Shot (2 PTS) (J. Giddey 1 AST),"[202324, 1630581]",1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,12.5,Made,,,,,2.0,J. Giddey,1630581.0,1.0,,,,
27,PT09M54.00S,2022-01-10T00:12:52.0Z,1,REGULAR,3pt,Jump Shot,[],203115,72.48685939553219,82.35294117647058,1610612743,2,10,2022-01-10T00:12:56Z,260000,162.0,206.0,1,right,W. Barton 26' 3PT  (8 PTS) (M. Morris 1 AST),"[203115, 1628420]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,26.2,Made,,,,,8.0,M. Morris,1628420.0,1.0,,,,
29,PT09M31.00S,2022-01-10T00:13:15.2Z,1,REGULAR,2pt,Jump Shot,[],1630526,3.7614980289093296,71.07843137254902,1610612760,4,10,2022-01-10T00:13:19Z,280000,-105.0,-17.0,1,left,J. Robinson-Earl 10' pullup Jump Shot (2 PTS) (J. Giddey 2 AST),"[1630526, 1630581]",1610612760.0,OKC,pullup,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,10.68,Made,,,,,2.0,J. Giddey,1630581.0,2.0,,,,
31,PT09M12.00S,2022-01-10T00:13:33.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,85.23324572930355,49.26470588235294,1610612743,4,10,2022-01-10T00:13:42Z,300000,-4.0,86.0,1,right,MISS N. Jokic 8' driving Layup,[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,,,,,,,8.64,Missed,,,,,,,,,,,,
32,PT09M11.00S,2022-01-10T00:13:34.9Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,4,10,2022-01-10T00:13:42Z,310000,,,0,,N. Jokic REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,31.0,3.0,2.0,1.0,,,,,,,,
33,PT09M11.00S,2022-01-10T00:13:39.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203999,94.40999984741211,50.0,1610612743,4,10,2022-01-10T00:18:41Z,320000,0.0,0.0,1,right,MISS N. Jokic tip Layup,[203999],1610612743.0,DEN,tip,,,Jokic,N. Jokic,,,,,,,,,,,0.0,Missed,,,,,,,,,,,,
34,PT09M11.00S,2022-01-10T00:13:39.9Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,4,10,2022-01-10T00:18:41Z,330000,,,0,,N. Jokic REBOUND (Off:2 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,33.0,4.0,2.0,2.0,,,,,,,,
35,PT09M11.00S,2022-01-10T00:13:43.6Z,1,REGULAR,foul,personal,['2freethrow'],202324,,,1610612743,4,10,2022-01-10T00:13:54Z,340000,,,0,,D. Favors shooting personal FOUL (1 PF) (Jokic 2 FT),"[202324, 203999]",1610612760.0,OKC,shooting,,,Favors,D. Favors,,,,,101283.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,,,,,,
37,PT09M11.00S,2022-01-10T00:14:22.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203999,,,1610612743,4,11,2022-01-10T00:14:22Z,360000,,,0,,N. Jokic Free Throw 1 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,Made,,,,,1.0,,,,,,,
38,PT09M11.00S,2022-01-10T00:14:35.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203999,,,1610612743,4,12,2022-01-10T00:14:35Z,370000,,,0,,N. Jokic Free Throw 2 of 2 (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,Made,,,,,2.0,,,,,,,
39,PT08M53.00S,2022-01-10T00:14:55.3Z,1,REGULAR,3pt,Jump Shot,[],202324,6.1268068331143235,95.83333333333334,1610612760,4,12,2022-01-10T00:14:59Z,380000,-229.0,5.0,1,left,MISS D. Favors 3PT,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,22.93,Missed,,,,,,,,,,,,
40,PT08M49.00S,2022-01-10T00:14:59.3Z,1,REGULAR,rebound,defensive,[],1628420,,,1610612743,4,12,2022-01-10T00:14:59Z,390000,,,0,,M. Morris REBOUND (Off:0 Def:1),[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,
41,PT08M36.00S,2022-01-10T00:15:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203115,87.99277266754271,42.15686274509804,1610612743,4,12,2022-01-10T00:15:18Z,400000,-39.0,60.0,1,right,MISS W. Barton 7' driving Layup,[203115],1610612743.0,DEN,driving,,,Barton,W. Barton,,,,,,,,,,,7.2,Missed,,,,,,,,,,,,
42,PT08M30.00S,2022-01-10T00:15:17.8Z,1,REGULAR,rebound,offensive,[],203115,,,1610612743,4,12,2022-01-10T00:15:18Z,410000,,,0,,W. Barton REBOUND (Off:1 Def:0),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,41.0,1.0,0.0,1.0,,,,,,,,
43,PT08M30.00S,2022-01-10T00:15:17.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203115,94.40999984741211,50.0,1610612743,4,12,2022-01-10T00:19:58Z,420000,0.0,0.0,1,right,MISS W. Barton tip Layup,[203115],1610612743.0,DEN,tip,,,Barton,W. Barton,,,,,,,,,,,0.0,Missed,,,,,,,,,,,,
44,PT08M29.00S,2022-01-10T00:15:18.4Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,4,12,2022-01-10T00:19:58Z,430000,,,0,,D. Favors REBOUND (Off:0 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,
45,PT08M28.00S,2022-01-10T00:15:20.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630526,8.229303547963205,93.13725490196079,1610612760,4,12,2022-01-10T00:15:26Z,440000,-216.0,25.0,1,left,MISS J. Robinson-Earl 21' Jump Shot,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,21.71,Missed,,,,,,,,,,,,
46,PT08M26.00S,2022-01-10T00:15:24.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,4,12,2022-01-10T00:15:24Z,450000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,
47,PT08M26.00S,2022-01-10T00:15:26.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,4,12,2022-01-10T00:15:26Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M25.00S,2022-01-10T00:15:38.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628983,12.697109067017081,42.64705882352941,1610612760,4,12,2022-01-10T00:15:44Z,470000,37.0,67.0,1,left,MISS S. Gilgeous-Alexander 7' Jump Shot,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,7.64,Missed,,,,,,,,,,,,
49,PT08M20.00S,2022-01-10T00:15:43.3Z,1,REGULAR,rebound,defensive,[],203210,,,1610612743,4,12,2022-01-10T00:21:28Z,480000,,,0,,J. Green REBOUND (Off:0 Def:1),[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,
50,PT08M15.00S,2022-01-10T00:15:47.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,88.12417871222075,58.333333333333336,1610612743,4,14,2022-01-10T00:21:30Z,490000,42.0,59.0,1,right,N. Jokic 7' Layup (4 PTS) (M. Morris 2 AST),"[203999, 1628420]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,7.23,Made,,,,,4.0,M. Morris,1628420.0,2.0,,,,
52,PT07M57.00S,2022-01-10T00:16:05.4Z,1,REGULAR,3pt,Jump Shot,[],1629652,35.43035479632063,51.470588235294116,1610612760,4,14,2022-01-10T00:16:10Z,510000,-7.0,281.0,1,left,MISS L. Dort 28' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,28.06,Missed,,,,,,,,,,,,
53,PT07M54.00S,2022-01-10T00:16:08.4Z,1,REGULAR,rebound,offensive,[],202324,,,1610612760,4,14,2022-01-10T00:16:10Z,520000,,,0,,D. Favors REBOUND (Off:1 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,52.0,2.0,1.0,1.0,,,,,,,,
54,PT07M46.00S,2022-01-10T00:16:17.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,33.722076215505915,25.98039215686275,1610612760,4,14,2022-01-10T00:16:23Z,530000,120.0,264.0,1,left,MISS L. Dort 29' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,29.05,Missed,,,,,,,,,,,,
55,PT07M40.00S,2022-01-10T00:16:23.6Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,4,14,2022-01-10T00:16:23Z,540000,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,54.0,2.0,1.0,1.0,,,,,,,,
56,PT07M37.00S,2022-01-10T00:16:25.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628420,76.69185282522996,11.029411764705882,1610612743,4,17,2022-01-10T00:16:33Z,550000,-195.0,167.0,1,right,M. Morris 25' 3PT  (3 PTS) (A. Gordon 1 AST),"[1628420, 203932]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,25.64,Made,,,,,3.0,A. Gordon,203932.0,1.0,,,,
58,PT07M28.00S,2022-01-10T00:16:41.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,4,17,2022-01-10T00:16:41Z,570000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M12.00S,2022-01-10T00:19:52.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,9.149145860709593,63.725490196078425,1610612760,4,17,2022-01-10T00:19:57Z,580000,-69.0,34.0,1,left,MISS J. Giddey 7' driving floating Shot,[1630581],1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,,,,,,,7.63,Missed,,,,,,,,,,,,
60,PT07M09.00S,2022-01-10T00:19:55.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,17,2022-01-10T00:19:57Z,590000,,,0,,N. Jokic REBOUND (Off:2 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,59.0,5.0,3.0,2.0,,,,,,,,
61,PT07M05.00S,2022-01-10T00:20:00.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203932,89.70105124835742,45.34313725490196,1610612743,4,19,2022-01-10T00:20:06Z,600000,-23.0,44.0,1,right,A. Gordon cutting DUNK (4 PTS) (W. Barton 1 AST),"[203932, 203115]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,,,,,,,5.01,Made,,,,,4.0,W. Barton,203115.0,1.0,,,,
63,PT06M52.00S,2022-01-10T00:20:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202324,8.09789750328515,44.11764705882353,1610612760,4,19,2022-01-10T00:20:18Z,620000,29.0,24.0,1,left,MISS D. Favors reverse Layup,[202324],1610612760.0,OKC,reverse,,,Favors,D. Favors,,,,,,,,,,,3.77,Missed,,,,,,,,,,,,
64,PT06M50.00S,2022-01-10T00:20:14.8Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,4,19,2022-01-10T00:20:18Z,630000,,,0,,A. Gordon REBOUND (Off:1 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,63.0,3.0,2.0,1.0,,,,,,,,
65,PT06M34.00S,2022-01-10T00:20:33.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,4,19,2022-01-10T00:20:33Z,640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M29.00S,2022-01-10T00:20:49.9Z,1,REGULAR,3pt,Jump Shot,[],203999,72.7496714848883,13.725490196078432,1610612743,4,22,2022-01-10T00:20:54Z,650000,-181.0,204.0,1,right,N. Jokic 27' 3PT  (7 PTS) (W. Barton 2 AST),"[203999, 203115]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,27.28,Made,,,,,7.0,W. Barton,203115.0,2.0,,,,
68,PT06M16.00S,2022-01-10T00:21:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,8.492115637319317,58.82352941176471,1610612760,4,22,2022-01-10T00:21:07Z,670000,-44.0,27.0,1,left,MISS L. Dort driving Layup,[1629652],1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,,,,,,,5.19,Missed,,,,,,,,,,,,
69,PT06M14.00S,2022-01-10T00:21:05.3Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,4,22,2022-01-10T00:21:05Z,680000,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,68.0,1.0,0.0,1.0,,,,,,,,
70,PT06M04.00S,2022-01-10T00:21:14.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630581,21.369908015768726,5.637254901960785,1610612760,7,22,2022-01-10T00:21:18Z,690000,222.0,148.0,1,left,J. Giddey 26' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1630581, 1628983]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,26.69,Made,,,,,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,
72,PT05M41.00S,2022-01-10T00:21:38.3Z,1,REGULAR,3pt,Jump Shot,[],203932,90.48948751642575,96.32352941176471,1610612743,7,22,2022-01-10T00:21:41Z,710000,232.0,37.0,1,right,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,23.45,Missed,,,,,,,,,,,,
73,PT05M37.00S,2022-01-10T00:21:40.7Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,7,22,2022-01-10T00:21:40Z,720000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,
74,PT05M32.00S,2022-01-10T00:21:49.0Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612760,7,22,2022-01-10T00:22:04Z,730000,,,0,,A. Gordon shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[203932, 1628983]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,1628954.0,2.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,
76,PT05M32.00S,2022-01-10T00:22:09.9Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,8,22,2022-01-10T00:22:09Z,750000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (1 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,Made,,,,,1.0,,,,,,,
77,PT05M32.00S,2022-01-10T00:22:11.7Z,1,REGULAR,substitution,out,[],203932,,,1610612760,8,22,2022-01-10T00:22:18Z,760000,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M32.00S,2022-01-10T00:22:11.7Z,1,REGULAR,substitution,out,[],203210,,,1610612760,8,22,2022-01-10T00:22:18Z,770000,,,0,,SUB out: J. Green,[203210],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M32.00S,2022-01-10T00:22:11.7Z,1,REGULAR,substitution,in,[],203085,,,1610612760,8,22,2022-01-10T00:22:18Z,780000,,,0,,SUB in: A. Rivers,[203085],1610612743.0,DEN,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M32.00S,2022-01-10T00:22:11.7Z,1,REGULAR,substitution,in,[],201145,,,1610612760,8,22,2022-01-10T00:22:18Z,790000,,,0,,SUB in: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M32.00S,2022-01-10T00:22:29.8Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,9,22,2022-01-10T00:22:29Z,800000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (2 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,Made,,,,,2.0,,,,,,,
82,PT05M12.00S,2022-01-10T00:22:52.7Z,1,REGULAR,3pt,Jump Shot,[],1628420,93.64323258869908,95.83333333333334,1610612743,9,25,2022-01-10T00:22:57Z,810000,229.0,7.0,1,right,M. Morris 3PT  (6 PTS) (A. Rivers 1 AST),"[1628420, 203085]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,22.93,Made,,,,,6.0,A. Rivers,203085.0,1.0,,,,
84,PT04M57.00S,2022-01-10T00:23:07.2Z,1,REGULAR,3pt,Jump Shot,[],1629652,6.652431011826544,94.6078431372549,1610612760,12,25,2022-01-10T00:23:11Z,830000,-223.0,10.0,1,left,L. Dort 3PT  (3 PTS) (D. Favors 1 AST),"[1629652, 202324]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,22.32,Made,,,,,3.0,D. Favors,202324.0,1.0,,,,
86,PT04M35.00S,2022-01-10T00:23:30.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,89.56964520367937,58.82352941176471,1610612743,12,25,2022-01-10T00:23:35Z,850000,44.0,46.0,1,right,MISS N. Jokic 6' turnaround Hook,[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,,,,,,,6.34,Missed,,,,,,,,,,,,
87,PT04M33.00S,2022-01-10T00:23:32.0Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,12,25,2022-01-10T00:23:35Z,860000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,
88,PT04M25.00S,2022-01-10T00:23:39.6Z,1,REGULAR,3pt,Jump Shot,[],1628983,30.699737187910642,25.735294117647058,1610612760,12,25,2022-01-10T00:23:45Z,870000,121.0,236.0,1,left,MISS S. Gilgeous-Alexander 26' pullup 3PT,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,26.54,Missed,,,,,,,,,,,,
89,PT04M22.00S,2022-01-10T00:23:42.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,12,25,2022-01-10T00:23:45Z,880000,,,0,,N. Jokic REBOUND (Off:2 Def:4),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,88.0,6.0,4.0,2.0,,,,,,,,
90,PT04M13.00S,2022-01-10T00:23:51.8Z,1,REGULAR,3pt,Jump Shot,[],1628420,91.40932982917214,95.83333333333334,1610612743,12,25,2022-01-10T00:23:55Z,890000,229.0,28.0,1,right,MISS M. Morris 3PT,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,23.09,Missed,,,,,,,,,,,,
91,PT04M10.00S,2022-01-10T00:23:54.8Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,12,25,2022-01-10T00:23:55Z,900000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,90.0,2.0,2.0,0.0,,,,,,,,
