actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
14,PT10M29.00S,2022-01-25T01:12:20.8Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,5,2,2022-01-25T01:12:20Z,140000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
15,PT10M11.00S,2022-01-25T01:12:38.5Z,1,REGULAR,3pt,Jump Shot,[],1628972,12.959921156373195,93.87254901960785,1610612741,5,5,2022-01-25T01:12:50Z,150000,-219.0,69.0,1,left,T. Brown Jr. 3PT  (3 PTS) (N. Vucevic 1 AST),"[1628972, 202696]",1610612741.0,CHI,,23.01,Made,Brown Jr.,T. Brown Jr.,,,,,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,,,
17,PT09M57.00S,2022-01-25T01:12:52.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,89.83245729303549,39.21568627450981,1610612760,7,5,2022-01-25T01:14:16Z,170000,-54.0,43.0,1,right,S. Gilgeous-Alexander 6' driving finger roll Layup (2 PTS),[1628983],1610612760.0,OKC,driving finger roll,6.9,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.0,,,,,,,,,,,,,,,,,,,
18,PT09M47.00S,2022-01-25T01:13:04.5Z,1,REGULAR,foul,personal,['2freethrow'],1630598,,,1610612741,7,5,2022-01-25T01:13:19Z,180000,,,0,,A. Wiggins shooting personal FOUL (1 PF) (LaVine 2 FT),"[1630598, 203897]",1610612760.0,OKC,shooting,,,Wiggins,A. Wiggins,,,,,,,,,1204.0,1.0,0.0,LaVine,203897.0,,,,,,,,,,,
20,PT09M47.00S,2022-01-25T01:13:31.4Z,1,REGULAR,freethrow,1 of 2,[],203897,,,1610612741,7,6,2022-01-25T01:13:31Z,200000,,,0,,Z. LaVine Free Throw 1 of 2 (1 PTS),[203897],1610612741.0,CHI,,,Made,LaVine,Z. LaVine,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,PT09M47.00S,2022-01-25T01:13:48.6Z,1,REGULAR,freethrow,2 of 2,[],203897,,,1610612741,7,7,2022-01-25T01:13:48Z,210000,,,0,,Z. LaVine Free Throw 2 of 2 (2 PTS),[203897],1610612741.0,CHI,,,Made,LaVine,Z. LaVine,,,,,2.0,,,,,,,,,,,,,,,,,,,
22,PT09M37.00S,2022-01-25T01:14:00.3Z,1,REGULAR,turnover,out-of-bounds,[],1630526,,,1610612760,7,7,2022-01-25T01:17:39Z,220000,,,0,,J. Robinson-Earl bad pass out-of-bounds TURNOVER (1 TO),[1630526],1610612760.0,OKC,bad pass,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,1.0,,,,,,,,,,
24,PT09M28.00S,2022-01-25T01:14:18.6Z,1,REGULAR,turnover,lost ball,[],202696,,,1610612741,7,7,2022-01-25T01:19:23Z,240000,,,0,,N. Vucevic lost ball TURNOVER (1 TO),"[202696, 1628983]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,
25,PT09M28.00S,2022-01-25T01:14:18.6Z,1,REGULAR,steal,,[],1628983,,,1610612760,7,7,2022-01-25T01:14:20Z,250000,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M24.00S,2022-01-25T01:14:22.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628983,91.27792378449409,47.05882352941176,1610612760,7,7,2022-01-25T01:14:34Z,260000,-15.0,29.0,1,right,MISS S. Gilgeous-Alexander running Layup - blocked,"[1628983, 1630245]",1610612760.0,OKC,running,3.3,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,Dosunmu,1630245.0,,,,,,
27,PT09M24.00S,2022-01-25T01:14:22.6Z,1,REGULAR,block,,[],1630245,,,1610612760,7,7,2022-01-25T01:14:24Z,270000,,,0,,A. Dosunmu BLOCK (1 BLK),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M21.00S,2022-01-25T01:14:25.6Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,7,7,2022-01-25T01:14:34Z,280000,,,0,,L. Dort REBOUND (Off:1 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,26.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
29,PT09M20.00S,2022-01-25T01:14:28.6Z,1,REGULAR,foul,personal,[],1628972,,,1610612760,7,7,2022-01-25T01:16:49Z,290000,,,0,,T. Brown Jr. personal FOUL (1 PF),"[1628972, 1630598]",1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,1204.0,1.0,0.0,Wiggins,1630598.0,,,,,,,,,,,
31,PT09M15.00S,2022-01-25T01:14:50.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629652,90.48948751642575,57.84313725490197,1610612760,7,7,2022-01-25T01:19:31Z,310000,39.0,37.0,1,right,MISS L. Dort driving floating Shot,[1629652],1610612760.0,OKC,driving floating,5.38,Missed,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M13.00S,2022-01-25T01:14:52.3Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,7,7,2022-01-25T01:14:52Z,320000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
33,PT09M00.00S,2022-01-25T01:15:05.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203897,17.69053876478318,63.725490196078425,1610612741,7,7,2022-01-25T01:20:07Z,330000,-69.0,114.0,1,left,MISS Z. LaVine 13' pullup Shot,[203897],1610612741.0,CHI,pullup,13.29,Missed,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M56.00S,2022-01-25T01:15:09.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,7,7,2022-01-25T01:17:01Z,340000,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
35,PT08M49.00S,2022-01-25T01:15:15.7Z,1,REGULAR,3pt,Jump Shot,[],1629652,69.72733245729303,10.049019607843137,1610612760,10,7,2022-01-25T01:15:32Z,350000,-200.0,232.0,1,right,L. Dort 30' 3PT  (3 PTS) (J. Robinson-Earl 1 AST),"[1629652, 1630526]",1610612760.0,OKC,,30.63,Made,Dort,L. Dort,,,,,3.0,J. Robinson-Earl,1630526.0,1.0,,,,,,,,,,,,,,,,
37,PT08M28.00S,2022-01-25T01:15:37.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,7.966491458607096,57.35294117647059,1610612741,10,7,2022-01-25T01:20:49Z,370000,-37.0,22.0,1,left,MISS J. Green driving finger roll Layup,[1629750],1610612741.0,CHI,driving finger roll,4.31,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M25.00S,2022-01-25T01:15:40.1Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,10,7,2022-01-25T01:17:05Z,380000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
39,PT08M23.00S,2022-01-25T01:15:42.9Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,10,7,2022-01-25T01:21:25Z,390000,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1629750]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,1.0,Green,1629750.0,,,,,,,,
40,PT08M23.00S,2022-01-25T01:15:42.9Z,1,REGULAR,steal,,[],1629750,,,1610612741,10,7,2022-01-25T01:15:45Z,400000,,,0,,J. Green STEAL (1 STL),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M16.00S,2022-01-25T01:15:49.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630245,9.543363994743759,3.9215686274509802,1610612741,10,10,2022-01-25T01:15:58Z,410000,230.0,37.0,1,left,A. Dosunmu 3PT  (5 PTS) (Z. LaVine 2 AST),"[1630245, 203897]",1610612741.0,CHI,,23.34,Made,Dosunmu,A. Dosunmu,,,,,5.0,Z. LaVine,203897.0,2.0,,,,,,,,,,,,,,,,
43,PT07M56.00S,2022-01-25T01:16:08.1Z,1,REGULAR,2pt,Jump Shot,[],1630581,89.30683311432325,66.91176470588235,1610612760,10,10,2022-01-25T01:22:08Z,430000,85.0,48.0,1,right,MISS J. Giddey 9' pullup Shot,[1630581],1610612760.0,OKC,pullup,9.73,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2022-01-25T01:16:11.5Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,10,10,2022-01-25T01:16:11Z,440000,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,43.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
45,PT07M47.00S,2022-01-25T01:16:18.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630598,89.04402102496715,3.1862745098039214,1610612760,13,10,2022-01-25T01:17:16Z,450000,-234.0,50.0,1,right,A. Wiggins 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1630598, 1628983]",1610612760.0,OKC,,23.95,Made,Wiggins,A. Wiggins,,,,,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,,,,,,,
47,PT07M45.00S,2022-01-25T01:16:31.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,13,10,2022-01-25T01:16:31Z,470000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M45.00S,2022-01-25T01:18:42.7Z,1,REGULAR,substitution,out,[],1629750,,,1610612741,13,10,2022-01-25T01:19:00Z,480000,,,0,,SUB out: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M45.00S,2022-01-25T01:18:42.7Z,1,REGULAR,substitution,in,[],1628035,,,1610612741,13,10,2022-01-25T01:19:00Z,490000,,,0,,SUB in: A. McKinnie,[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M35.00S,2022-01-25T01:19:24.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,13,10,2022-01-25T01:19:25Z,500000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M31.00S,2022-01-25T01:19:40.3Z,1,REGULAR,3pt,Jump Shot,[],203897,33.196452036793694,58.82352941176471,1610612741,13,13,2022-01-25T01:19:44Z,510000,-44.0,260.0,1,left,Z. LaVine 26' 3PT step back (5 PTS),[203897],1610612741.0,CHI,step back,26.32,Made,LaVine,Z. LaVine,,,,,5.0,,,,,,,,,,,,,,,,,,,
52,PT07M14.00S,2022-01-25T01:19:57.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,90.22667542706965,58.08823529411765,1610612760,15,13,2022-01-25T01:20:02Z,520000,40.0,39.0,1,right,S. Gilgeous-Alexander driving Layup (4 PTS),[1628983],1610612760.0,OKC,driving,5.64,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,4.0,,,,,,,,,,,,,,,,,,,
53,PT07M00.00S,2022-01-25T01:20:11.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630245,18.2161629434954,53.431372549019606,1610612741,15,15,2022-01-25T02:36:43Z,530000,-17.0,119.0,1,left,A. Dosunmu 11' pullup Jump Shot (7 PTS),[1630245],1610612741.0,CHI,pullup,11.99,Made,Dosunmu,A. Dosunmu,,,,,7.0,,,,,,,,,,,,,,,,,,,
54,PT06M51.00S,2022-01-25T01:20:19.2Z,1,REGULAR,turnover,lost ball,[],1628983,,,1610612760,15,15,2022-01-25T01:20:22Z,540000,,,0,,S. Gilgeous-Alexander lost ball TURNOVER (1 TO),"[1628983, 203897]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,1.0,LaVine,203897.0,,,,,,,,
55,PT06M51.00S,2022-01-25T01:20:19.2Z,1,REGULAR,steal,,[],203897,,,1610612741,15,15,2022-01-25T01:28:26Z,550000,,,0,,Z. LaVine STEAL (1 STL),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M48.00S,2022-01-25T01:20:23.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628972,9.149145860709593,42.8921568627451,1610612741,15,17,2022-01-25T01:20:29Z,560000,36.0,34.0,1,left,T. Brown Jr. running DUNK (5 PTS) (Z. LaVine 3 AST),"[1628972, 203897]",1610612741.0,CHI,running,4.88,Made,Brown Jr.,T. Brown Jr.,,,,,5.0,Z. LaVine,203897.0,3.0,,,,,,,,,,,,,,,,
58,PT06M35.00S,2022-01-25T01:20:35.7Z,1,REGULAR,3pt,Jump Shot,[],1630526,65.78515111695138,61.76470588235294,1610612760,18,17,2022-01-25T01:20:40Z,580000,59.0,269.0,1,right,J. Robinson-Earl 27' 3PT  (6 PTS) (J. Giddey 2 AST),"[1630526, 1630581]",1610612760.0,OKC,,27.54,Made,Robinson-Earl,J. Robinson-Earl,,,,,6.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,,,,
60,PT06M23.00S,2022-01-25T01:20:49.3Z,1,REGULAR,turnover,out-of-bounds,[],203897,,,1610612741,18,17,2022-01-25T01:20:57Z,600000,,,0,,Z. LaVine bad pass out-of-bounds TURNOVER (1 TO),[203897],1610612741.0,CHI,bad pass,,,LaVine,Z. LaVine,,,,,,,,,1204.0,,,,,1.0,,,,,,,,,,
61,PT06M13.00S,2022-01-25T01:21:17.0Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612760,18,17,2022-01-25T01:21:22Z,610000,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630245, 1628983]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,,,,,1627529.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,
63,PT06M13.00S,2022-01-25T01:21:31.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628983,,,1610612760,19,17,2022-01-25T01:21:31Z,630000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (5 PTS),[1628983],1610612760.0,OKC,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,5.0,,,,,,,,,,,,,,,,,,,
64,PT06M13.00S,2022-01-25T01:21:37.1Z,1,REGULAR,substitution,out,[],1628972,,,1610612760,19,17,2022-01-25T01:21:40Z,640000,,,0,,SUB out: T. Brown Jr.,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M13.00S,2022-01-25T01:21:37.1Z,1,REGULAR,substitution,in,[],1629632,,,1610612760,19,17,2022-01-25T01:21:40Z,650000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M13.00S,2022-01-25T01:21:31.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628983,,,1610612760,19,17,2022-01-25T01:21:51Z,660000,,,0,,MISS S. Gilgeous-Alexander Free Throw 2 of 2,[1628983],1610612760.0,OKC,,,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M11.00S,2022-01-25T01:21:33.1Z,1,REGULAR,rebound,defensive,[],1628035,,,1610612741,19,17,2022-01-25T01:21:51Z,670000,,,0,,A. McKinnie REBOUND (Off:0 Def:1),[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
68,PT05M49.00S,2022-01-25T01:22:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,13.354139290407357,40.44117647058824,1610612741,19,17,2022-01-25T01:22:15Z,680000,48.0,73.0,1,left,MISS C. White 8' driving Layup,[1629632],1610612741.0,CHI,driving,8.73,Missed,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M46.00S,2022-01-25T01:22:14.2Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,19,17,2022-01-25T01:22:15Z,690000,,,0,,N. Vucevic REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,68.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
70,PT05M46.00S,2022-01-25T01:22:14.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,9.674770039421814,50.245098039215684,1610612741,19,19,2022-01-25T04:52:47Z,700000,-1.0,38.0,1,left,N. Vucevic tip Layup (2 PTS),[202696],1610612741.0,CHI,tip,3.84,Made,Vucevic,N. Vucevic,,,,,2.0,,,,,,,,,,,,,,,,,,,
71,PT05M38.00S,2022-01-25T01:22:23.0Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,19,19,2022-01-25T01:22:29Z,710000,,,0,,J. Giddey bad pass TURNOVER (2 TO),"[1630581, 203897]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,2.0,LaVine,203897.0,,,,,,,,
72,PT05M38.00S,2022-01-25T01:22:23.0Z,1,REGULAR,steal,,[],203897,,,1610612741,19,19,2022-01-25T01:22:25Z,720000,,,0,,Z. LaVine STEAL (2 STL),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M33.00S,2022-01-25T01:22:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak', 'defensivegoaltending']",1630245,11.777266754270697,41.66666666666667,1610612741,19,21,2022-01-25T01:23:00Z,740000,42.0,58.0,1,left,A. Dosunmu 7' running Layup (9 PTS) (C. White 1 AST),"[1630245, 1629632]",1610612741.0,CHI,running,7.16,Made,Dosunmu,A. Dosunmu,,,,,9.0,C. White,1629632.0,1.0,,,,,,,,,,,,,,,,
78,PT05M33.00S,2022-01-25T01:22:47.2Z,1,REGULAR,violation,defensive goaltending,[],1630598,,,1610612741,19,21,2022-01-25T01:24:22Z,780000,,,0,,A. Wiggins defensive goaltending VIOLATION,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,1830.0,,,,,,,,,,,,,,,
79,PT05M11.00S,2022-01-25T01:23:04.9Z,1,REGULAR,3pt,Jump Shot,[],1630581,66.44218134034165,69.85294117647058,1610612760,19,21,2022-01-25T01:23:09Z,790000,99.0,263.0,1,right,MISS J. Giddey 28' 3PT,[1630581],1610612760.0,OKC,,28.1,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M08.00S,2022-01-25T01:23:07.9Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,19,21,2022-01-25T01:23:09Z,800000,,,0,,A. Dosunmu REBOUND (Off:0 Def:2),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,79.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,
81,PT05M05.00S,2022-01-25T01:23:11.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628035,9.017739816031538,56.61764705882353,1610612741,19,23,2022-01-25T01:23:15Z,810000,-33.0,32.0,1,left,A. McKinnie running Layup (2 PTS) (A. Dosunmu 1 AST),"[1628035, 1630245]",1610612741.0,CHI,running,4.62,Made,McKinnie,A. McKinnie,,,,,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,,,
83,PT04M47.00S,2022-01-25T01:23:27.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,82.9993429697766,41.66666666666667,1610612760,21,23,2022-01-25T01:23:35Z,830000,-42.0,107.0,1,right,L. Dort 11' pullup Jump Shot (5 PTS),[1629652],1610612760.0,OKC,pullup,11.51,Made,Dort,L. Dort,,,,,5.0,,,,,,,,,,,,,,,,,,,
84,PT04M33.00S,2022-01-25T01:23:41.8Z,1,REGULAR,3pt,Jump Shot,[],203897,28.991458607095925,78.43137254901961,1610612741,21,23,2022-01-25T01:30:46Z,840000,-142.0,220.0,1,left,MISS Z. LaVine 26' pullup 3PT,[203897],1610612741.0,CHI,pullup,26.2,Missed,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M31.00S,2022-01-25T01:23:43.8Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,21,23,2022-01-25T01:23:48Z,850000,,,0,,N. Vucevic REBOUND (Off:2 Def:0),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,84.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,
86,PT04M30.00S,2022-01-25T01:23:45.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,34.247700394218136,31.372549019607842,1610612741,21,23,2022-01-25T01:23:50Z,860000,93.0,269.0,1,left,MISS C. White 28' 3PT,[1629632],1610612741.0,CHI,,28.5,Missed,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M30.00S,2022-01-25T01:23:45.9Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,21,23,2022-01-25T01:23:50Z,870000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
