actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT11M11.00S,2021-12-23T01:11:45.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202324,18.347568988173457,40.68627450980392,1610612760,3,3,2021-12-23T01:11:54Z,160000,47.0,120.0,1,left,MISS D. Favors 12' Layup,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,12.87,Missed,,,,,,,,,,,,,,,,,,
17,PT11M11.00S,2021-12-23T01:11:45.6Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,3,3,2021-12-23T01:11:54Z,170000,,,0,,L. Dort REBOUND (Off:1 Def:0),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,
18,PT11M06.00S,2021-12-23T01:11:50.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629652,5.590000152587891,50.0,1610612760,3,3,2021-12-23T01:11:50Z,180000,0.0,0.0,1,left,MISS L. Dort tip Layup,[1629652],1610612760.0,OKC,tip,,,Dort,L. Dort,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
19,PT11M06.00S,2021-12-23T01:11:51.2Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,3,3,2021-12-23T01:11:51Z,190000,,,0,,J. Green REBOUND (Off:0 Def:1),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,
20,PT10M57.00S,2021-12-23T01:12:00.0Z,1,REGULAR,3pt,Jump Shot,[],1628420,88.64980289093299,4.166666666666666,1610612743,3,6,2021-12-23T01:12:04Z,200000,-229.0,54.0,1,right,M. Morris 3PT  (3 PTS) (N. Jokic 1 AST),"[1628420, 203999]",1610612743.0,DEN,,,,Morris,M. Morris,,,,,23.55,Made,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
22,PT10M40.00S,2021-12-23T01:12:17.2Z,1,REGULAR,turnover,bad pass,[],1629652,,,1610612760,3,6,2021-12-23T01:12:55Z,220000,,,0,,L. Dort bad pass TURNOVER (1 TO),"[1629652, 203115]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,1.0,Barton,203115.0,,,,
23,PT10M40.00S,2021-12-23T01:12:17.2Z,1,REGULAR,steal,,[],203115,,,1610612743,3,6,2021-12-23T01:12:19Z,230000,,,0,,W. Barton STEAL (1 STL),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M40.00S,2021-12-23T01:12:22.6Z,1,REGULAR,foul,personal,[],202324,,,1610612743,3,6,2021-12-23T01:12:29Z,240000,,,0,,D. Favors take personal FOUL (1 PF),"[202324, 203115]",1610612760.0,OKC,take,,,Favors,D. Favors,,,,,,,,,,,1627963.0,1.0,0.0,,,,,,,,Barton,203115.0,,
26,PT10M28.00S,2021-12-23T01:12:41.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203932,93.77463863337714,50.98039215686274,1610612743,3,8,2021-12-23T01:12:44Z,260000,5.0,6.0,1,right,A. Gordon DUNK (2 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,0.77,Made,2.0,N. Jokic,203999.0,2.0,,,,,,,,,,,,,,
28,PT10M13.00S,2021-12-23T01:12:55.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,8.360709592641262,48.77450980392157,1610612760,3,8,2021-12-23T01:12:59Z,280000,6.0,26.0,1,left,MISS S. Gilgeous-Alexander driving Layup - blocked,"[1628983, 203999]",1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.68,Missed,,,,,,,,,,,,,,,,,Jokic,203999.0
29,PT10M13.00S,2021-12-23T01:12:55.7Z,1,REGULAR,block,,[],203999,,,1610612760,3,8,2021-12-23T01:12:57Z,290000,,,0,,N. Jokic BLOCK (1 BLK),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M11.00S,2021-12-23T01:12:57.7Z,1,REGULAR,rebound,defensive,[],201145,,,1610612743,3,8,2021-12-23T01:12:59Z,300000,,,0,,J. Green REBOUND (Off:0 Def:2),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,,
31,PT10M09.00S,2021-12-23T01:13:00.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203932,87.07293035479631,3.9215686274509802,1610612743,3,8,2021-12-23T01:13:08Z,310000,-230.0,69.0,1,right,MISS A. Gordon 24' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,24.05,Missed,,,,,,,,,,,,,,,,,,
32,PT10M06.00S,2021-12-23T01:13:03.3Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,3,8,2021-12-23T01:13:08Z,320000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,
33,PT10M01.00S,2021-12-23T01:13:07.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628983,5.075558475689881,44.85294117647059,1610612760,5,8,2021-12-23T01:13:13Z,330000,26.0,-5.0,1,left,S. Gilgeous-Alexander driving finger roll Layup (2 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.61,Made,2.0,,,,,,,,,,,,,,,,,
34,PT09M51.00S,2021-12-23T01:13:19.8Z,1,REGULAR,foul,personal,['2freethrow'],1630581,,,1610612743,5,8,2021-12-23T01:13:26Z,340000,,,0,,J. Giddey shooting personal FOUL (1 PF) (Green 2 FT),"[1630581, 201145]",1610612760.0,OKC,shooting,,,Giddey,J. Giddey,,,,,,,,,,,1662.0,1.0,1.0,,,,,,,,Green,201145.0,,
36,PT09M51.00S,2021-12-23T01:13:42.6Z,1,REGULAR,freethrow,1 of 2,[],201145,,,1610612743,5,9,2021-12-23T01:13:42Z,360000,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
37,PT09M51.00S,2021-12-23T01:13:42.6Z,1,REGULAR,freethrow,2 of 2,[],201145,,,1610612743,5,9,2021-12-23T01:14:02Z,370000,,,0,,MISS J. Green Free Throw 2 of 2,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT09M49.00S,2021-12-23T01:13:44.6Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,5,9,2021-12-23T01:14:02Z,380000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,
39,PT09M37.00S,2021-12-23T01:14:15.1Z,1,REGULAR,foul,personal,[],203115,,,1610612760,5,9,2021-12-23T01:14:21Z,390000,,,0,,W. Barton personal FOUL (1 PF),"[203115, 1629652]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,1627963.0,1.0,0.0,,,,,,,,Dort,1629652.0,,
41,PT09M28.00S,2021-12-23T01:14:42.7Z,1,REGULAR,3pt,Jump Shot,[],1630526,24.26084099868594,11.029411764705882,1610612760,5,9,2021-12-23T01:14:47Z,410000,195.0,176.0,1,left,MISS J. Robinson-Earl 26' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,26.23,Missed,,,,,,,,,,,,,,,,,,
42,PT09M25.00S,2021-12-23T01:14:45.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,9,2021-12-23T01:14:47Z,420000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,
43,PT09M18.00S,2021-12-23T01:14:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,87.59855453350855,37.745098039215684,1610612743,5,9,2021-12-23T01:14:58Z,430000,-61.0,64.0,1,right,MISS J. Green 8' Layup - blocked,"[201145, 1630581]",1610612743.0,DEN,,,,Green,J. Green,,,,,8.87,Missed,,,,,,,,,,,,,,,,,Giddey,1630581.0
44,PT09M18.00S,2021-12-23T01:14:54.2Z,1,REGULAR,block,,[],1630581,,,1610612743,5,9,2021-12-23T01:14:56Z,440000,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,
45,PT09M18.00S,2021-12-23T01:14:54.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,5,9,2021-12-23T01:14:58Z,450000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,
46,PT09M18.00S,2021-12-23T01:14:58.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,5,9,2021-12-23T01:14:58Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT09M00.00S,2021-12-23T01:15:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203115,90.62089356110381,48.03921568627451,1610612743,5,9,2021-12-23T01:15:28Z,470000,-10.0,36.0,1,right,MISS W. Barton driving Layup,[203115],1610612743.0,DEN,driving,,,Barton,W. Barton,,,,,3.7,Missed,,,,,,,,,,,,,,,,,,
48,PT08M59.00S,2021-12-23T01:15:25.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,5,9,2021-12-23T01:15:25Z,480000,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,,
49,PT08M44.00S,2021-12-23T01:15:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.1268068331143235,53.92156862745098,1610612760,7,9,2021-12-23T01:15:42Z,490000,-20.0,5.0,1,left,S. Gilgeous-Alexander Layup (4 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.03,Made,4.0,,,,,,,,,,,,,,,,,
50,PT08M32.00S,2021-12-23T01:15:50.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,92.72339027595268,54.41176470588235,1610612743,7,9,2021-12-23T01:15:55Z,500000,22.0,16.0,1,right,MISS A. Gordon Layup,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,2.72,Missed,,,,,,,,,,,,,,,,,,
51,PT08M30.00S,2021-12-23T01:15:52.8Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,7,9,2021-12-23T01:15:55Z,510000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,
52,PT08M23.00S,2021-12-23T01:16:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,9.543363994743759,36.76470588235294,1610612760,7,9,2021-12-23T01:17:20Z,520000,66.0,37.0,1,left,MISS J. Giddey 7' floating Shot,[1630581],1610612760.0,OKC,floating,,,Giddey,J. Giddey,,,,,7.59,Missed,,,,,,,,,,,,,,,,,,
53,PT08M21.00S,2021-12-23T01:16:02.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,7,9,2021-12-23T01:16:07Z,530000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,
54,PT08M07.00S,2021-12-23T01:16:16.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,87.99277266754271,51.9607843137255,1610612743,7,11,2021-12-23T01:17:09Z,540000,10.0,60.0,1,right,N. Jokic 6' driving floating Jump Shot (3 PTS) (M. Morris 1 AST),"[203999, 1628420]",1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,6.12,Made,3.0,M. Morris,1628420.0,1.0,,,,,,,,,,,,,,
56,PT07M39.00S,2021-12-23T01:16:44.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,11.908672798948752,51.225490196078425,1610612760,9,11,2021-12-23T01:16:55Z,560000,-6.0,59.0,1,left,J. Robinson-Earl cutting Layup (2 PTS) (S. Gilgeous-Alexander 2 AST),"[1630526, 1628983]",1610612760.0,OKC,cutting,,,Robinson-Earl,J. Robinson-Earl,,,,,5.97,Made,2.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,,,,,
58,PT07M23.00S,2021-12-23T01:17:00.2Z,1,REGULAR,3pt,Jump Shot,[],201145,96.66557161629436,95.83333333333334,1610612743,9,14,2021-12-23T01:17:04Z,580000,229.0,-21.0,1,right,J. Green 3PT  (4 PTS) (M. Morris 2 AST),"[201145, 1628420]",1610612743.0,DEN,,,,Green,J. Green,,,,,23.02,Made,4.0,M. Morris,1628420.0,2.0,,,,,,,,,,,,,,
60,PT07M08.00S,2021-12-23T01:17:15.2Z,1,REGULAR,3pt,Jump Shot,[],1629652,3.630091984231275,95.83333333333334,1610612760,12,14,2021-12-23T01:17:19Z,600000,-229.0,-18.0,1,left,L. Dort 3PT  (6 PTS) (D. Favors 1 AST),"[1629652, 202324]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,22.99,Made,6.0,D. Favors,202324.0,1.0,,,,,,,,,,,,,,
62,PT06M53.00S,2021-12-23T01:17:29.5Z,1,REGULAR,3pt,Jump Shot,[],203932,74.45795006570303,81.86274509803921,1610612743,12,14,2021-12-23T01:17:34Z,620000,159.0,188.0,1,right,MISS A. Gordon 24' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,24.61,Missed,,,,,,,,,,,,,,,,,,
63,PT06M51.00S,2021-12-23T01:17:31.5Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,12,14,2021-12-23T01:17:34Z,630000,,,0,,D. Favors REBOUND (Off:0 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,
64,PT06M40.00S,2021-12-23T01:17:43.1Z,1,REGULAR,3pt,Jump Shot,[],1630581,32.14520367936925,40.931372549019606,1610612760,12,14,2021-12-23T01:17:47Z,640000,45.0,250.0,1,left,MISS J. Giddey 25' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,25.38,Missed,,,,,,,,,,,,,,,,,,
65,PT06M37.00S,2021-12-23T01:17:46.1Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612760,12,14,2021-12-23T01:17:47Z,650000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,64.0,3.0,2.0,1.0,,,,,,,
66,PT06M36.00S,2021-12-23T01:17:47.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630526,5.469776609724048,49.26470588235294,1610612760,14,14,2021-12-23T01:17:55Z,660000,4.0,-1.0,1,left,J. Robinson-Earl putback DUNK (4 PTS),[1630526],1610612760.0,OKC,putback,,,Robinson-Earl,J. Robinson-Earl,,,,,0.39,Made,4.0,,,,,,,,,,,,,,,,,
67,PT06M35.00S,2021-12-23T01:17:52.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,14,14,2021-12-23T01:17:52Z,670000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M18.00S,2021-12-23T01:21:00.5Z,1,REGULAR,3pt,Jump Shot,[],203999,70.38436268068331,78.43137254901961,1610612743,14,14,2021-12-23T01:21:06Z,680000,142.0,226.0,1,right,MISS N. Jokic 26' 3PT,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,26.69,Missed,,,,,,,,,,,,,,,,,,
69,PT06M15.00S,2021-12-23T01:21:03.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,14,14,2021-12-23T01:21:06Z,690000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,
70,PT06M15.00S,2021-12-23T01:21:05.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,14,14,2021-12-23T01:21:05Z,700000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M55.00S,2021-12-23T01:21:29.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,9.806176084099869,35.53921568627451,1610612760,16,14,2021-12-23T01:21:34Z,710000,72.0,40.0,1,left,S. Gilgeous-Alexander 8' driving floating bank Jump Shot (6 PTS),[1628983],1610612760.0,OKC,driving floating bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,8.25,Made,6.0,,,,,,,,,,,,,,,,,
72,PT05M31.00S,2021-12-23T01:21:52.1Z,1,REGULAR,3pt,Jump Shot,[],201145,91.01511169513797,94.85294117647058,1610612743,16,14,2021-12-23T01:21:57Z,720000,224.0,32.0,1,right,MISS J. Green step back 3PT,[201145],1610612743.0,DEN,step back,,,Green,J. Green,,,,,22.66,Missed,,,,,,,,,,,,,,,,,,
73,PT05M28.00S,2021-12-23T01:21:55.1Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,16,14,2021-12-23T01:21:57Z,730000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,
74,PT05M21.00S,2021-12-23T01:22:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,19.004599211563733,62.5,1610612760,16,14,2021-12-23T01:22:09Z,740000,-62.0,126.0,1,left,MISS S. Gilgeous-Alexander 14' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,14.07,Missed,,,,,,,,,,,,,,,,,,
75,PT05M17.00S,2021-12-23T01:22:06.2Z,1,REGULAR,rebound,defensive,[],203115,,,1610612743,16,14,2021-12-23T01:22:09Z,750000,,,0,,W. Barton REBOUND (Off:2 Def:1),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,74.0,3.0,1.0,2.0,,,,,,,
76,PT05M05.00S,2021-12-23T01:22:18.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,83.919185282523,61.51960784313726,1610612743,16,14,2021-12-23T01:22:23Z,760000,58.0,99.0,1,right,MISS M. Morris 11' floating Shot,[1628420],1610612743.0,DEN,floating,,,Morris,M. Morris,,,,,11.43,Missed,,,,,,,,,,,,,,,,,,
77,PT05M03.00S,2021-12-23T01:22:20.8Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,16,14,2021-12-23T01:22:23Z,770000,,,0,,D. Favors REBOUND (Off:0 Def:2),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,,
78,PT04M50.00S,2021-12-23T01:22:34.0Z,1,REGULAR,3pt,Jump Shot,[],1630581,4.155716162943495,95.83333333333334,1610612760,16,14,2021-12-23T01:22:38Z,780000,-229.0,-13.0,1,left,MISS J. Giddey 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,22.96,Missed,,,,,,,,,,,,,,,,,,
79,PT04M46.00S,2021-12-23T01:22:38.0Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,16,14,2021-12-23T01:22:38Z,790000,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,,
80,PT04M44.00S,2021-12-23T01:22:40.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203999,93.77463863337714,51.225490196078425,1610612743,16,16,2021-12-23T01:22:46Z,800000,6.0,6.0,1,right,N. Jokic running DUNK (5 PTS) (M. Morris 3 AST),"[203999, 1628420]",1610612743.0,DEN,running,,,Jokic,N. Jokic,,,,,0.86,Made,5.0,M. Morris,1628420.0,3.0,,,,,,,,,,,,,,
82,PT04M21.00S,2021-12-23T01:23:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,5.601182654402102,51.225490196078425,1610612760,18,16,2021-12-23T01:23:09Z,820000,-6.0,0.0,1,left,J. Giddey driving finger roll Layup (2 PTS),[1630581],1610612760.0,OKC,driving finger roll,,,Giddey,J. Giddey,,,,,0.61,Made,2.0,,,,,,,,,,,,,,,,,
83,PT04M13.00S,2021-12-23T01:23:14.0Z,1,REGULAR,foul,personal,[],1628983,,,1610612743,18,16,2021-12-23T01:23:23Z,830000,,,0,,S. Gilgeous-Alexander personal FOUL (1 PF),"[1628983, 203932]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,1627963.0,1.0,0.0,,,,,,,,Gordon,203932.0,,
85,PT04M13.00S,2021-12-23T01:23:18.0Z,1,REGULAR,substitution,out,[],202324,,,1610612743,18,16,2021-12-23T01:23:28Z,850000,,,0,,SUB out: D. Favors,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M13.00S,2021-12-23T01:23:18.0Z,1,REGULAR,substitution,out,[],1630581,,,1610612743,18,16,2021-12-23T01:23:28Z,860000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M13.00S,2021-12-23T01:23:18.0Z,1,REGULAR,substitution,out,[],1628420,,,1610612743,18,16,2021-12-23T01:23:28Z,870000,,,0,,SUB out: M. Morris,[1628420],1610612743.0,DEN,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M13.00S,2021-12-23T01:23:18.0Z,1,REGULAR,substitution,out,[],203115,,,1610612743,18,16,2021-12-23T01:23:28Z,880000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,
