actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
26,PT10M04.00S,2021-12-16T01:12:58.9Z,1,REGULAR,steal,,[],1630598,,,1610612760,4,2,2021-12-16T01:13:00Z,260000,,,0,,A. Wiggins STEAL (1 STL),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M55.00S,2021-12-16T01:13:07.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630581,95.6143232588699,4.411764705882353,1610612760,4,2,2021-12-16T01:13:11Z,270000,-228.0,-11.0,1,right,MISS J. Giddey 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,22.82,Missed,,,,,,,,,,,,,,
28,PT09M52.00S,2021-12-16T01:13:10.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,4,2,2021-12-16T01:13:11Z,280000,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,27.0,4.0,3.0,1.0,,,,,,,,,,
29,PT09M47.00S,2021-12-16T01:13:16.8Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612740,4,2,2021-12-16T01:13:26Z,290000,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Hart 2 FT),"[1628983, 1628404]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,1193.0,1.0,0.0,Hart,1628404.0,,,,,,,,,,,,,,,,
31,PT09M47.00S,2021-12-16T01:13:46.6Z,1,REGULAR,freethrow,1 of 2,[],1628404,,,1610612740,4,2,2021-12-16T01:13:46Z,310000,,,0,,MISS J. Hart Free Throw 1 of 2,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,Missed,,,,,,,,,,,,,,
32,PT09M47.00S,2021-12-16T01:13:46.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,4,2,2021-12-16T01:13:46Z,320000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,
33,PT09M47.00S,2021-12-16T01:14:05.1Z,1,REGULAR,freethrow,2 of 2,[],1628404,,,1610612740,4,3,2021-12-16T01:14:05Z,330000,,,0,,J. Hart Free Throw 2 of 2 (1 PTS),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
34,PT09M24.00S,2021-12-16T01:14:35.0Z,1,REGULAR,foul,personal,[],1630529,,,1610612760,4,3,2021-12-16T01:15:07Z,340000,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 1630581]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,201639.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,,,,,,,,
36,PT09M15.00S,2021-12-16T01:15:05.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,93.9060446780552,54.41176470588235,1610612760,4,3,2021-12-16T01:15:10Z,360000,22.0,5.0,1,right,MISS J. Giddey driving Layup,[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,,,,,,2.26,Missed,,,,,,,,,,,,,,
37,PT09M13.00S,2021-12-16T01:15:07.8Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,4,3,2021-12-16T01:15:10Z,370000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,
38,PT09M08.00S,2021-12-16T01:15:12.7Z,1,REGULAR,3pt,Jump Shot,[],1628984,27.414586070959263,17.892156862745097,1610612740,4,6,2021-12-16T01:15:20Z,380000,161.0,205.0,1,left,D. Graham 26' 3PT  (3 PTS) (B. Ingram 1 AST),"[1628984, 1627742]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,26.05,Made,,,,,3.0,B. Ingram,1627742.0,1.0,,,,,,
40,PT08M53.00S,2021-12-16T01:15:27.0Z,1,REGULAR,2pt,Jump Shot,[],202324,78.0059132720105,29.65686274509804,1610612760,4,6,2021-12-16T01:15:32Z,400000,-102.0,154.0,1,right,MISS D. Favors 18' Jump Shot,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,18.47,Missed,,,,,,,,,,,,,,
41,PT08M50.00S,2021-12-16T01:15:30.0Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,4,6,2021-12-16T01:15:32Z,410000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,
42,PT08M44.00S,2021-12-16T01:15:36.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,6.258212877792378,45.588235294117645,1610612740,4,8,2021-12-16T01:16:58Z,420000,22.0,6.0,1,left,J. Hart running Layup (3 PTS) (B. Ingram 2 AST),"[1628404, 1627742]",1610612740.0,NOP,running,,,Hart,J. Hart,,,,,,,,,,2.3,Made,,,,,3.0,B. Ingram,1627742.0,2.0,,,,,,
44,PT08M33.00S,2021-12-16T01:15:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,94.30026281208936,60.049019607843135,1610612760,6,8,2021-12-16T01:15:53Z,440000,50.0,1.0,1,right,S. Gilgeous-Alexander pullup Jump Shot (2 PTS) (J. Giddey 2 AST),"[1628983, 1630581]",1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,5.02,Made,,,,,2.0,J. Giddey,1630581.0,2.0,,,,,,
46,PT08M27.00S,2021-12-16T01:15:54.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628404,6.258212877792378,47.794117647058826,1610612740,6,10,2021-12-16T01:16:04Z,460000,11.0,6.0,1,left,J. Hart running DUNK (5 PTS) (D. Graham 1 AST),"[1628404, 1628984]",1610612740.0,NOP,running,,,Hart,J. Hart,,,,,,,,,,1.27,Made,,,,,5.0,D. Graham,1628984.0,1.0,,,,,,
47,PT08M27.00S,2021-12-16T01:16:03.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,6,10,2021-12-16T01:16:03Z,470000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M12.00S,2021-12-16T01:19:01.6Z,1,REGULAR,2pt,Jump Shot,[],1630581,73.58738501971091,75.02297794117648,1610612760,8,10,2021-12-16T01:19:57Z,480000,125.0,196.0,1,right,J. Giddey 23' pullup Jump Shot (2 PTS) (D. Favors 2 AST),"[1630581, 202324]",1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,,,,,,23.24,Made,,,,,2.0,D. Favors,202324.0,2.0,,,,,,
51,PT07M55.00S,2021-12-16T01:19:18.7Z,1,REGULAR,2pt,Jump Shot,[],1627742,18.2161629434954,23.03921568627451,1610612740,8,12,2021-12-16T01:20:32Z,500000,135.0,119.0,1,left,B. Ingram 17' pullup Jump Shot (2 PTS) (D. Graham 2 AST),"[1627742, 1628984]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,,,,,,17.96,Made,,,,,2.0,D. Graham,1628984.0,2.0,,,,,,
52,PT07M44.00S,2021-12-16T01:19:30.2Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,8,12,2021-12-16T01:19:33Z,510000,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1628984]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,1.0,Graham,1628984.0,,,
53,PT07M44.00S,2021-12-16T01:19:30.2Z,1,REGULAR,steal,,[],1628984,,,1610612740,8,12,2021-12-16T01:19:31Z,520000,,,0,,D. Graham STEAL (1 STL),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M39.00S,2021-12-16T01:19:35.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,4.5499342969776615,51.71568627450981,1610612740,8,14,2021-12-16T01:19:41Z,530000,-9.0,-10.0,1,left,H. Jones running Layup (2 PTS) (D. Graham 3 AST),"[1630529, 1628984]",1610612740.0,NOP,running,,,Jones,H. Jones,,,,,,,,,,1.3,Made,,,,,2.0,D. Graham,1628984.0,3.0,,,,,,
56,PT07M23.00S,2021-12-16T01:19:51.2Z,1,REGULAR,2pt,Jump Shot,[],202324,78.9257555847569,49.01960784313725,1610612760,8,14,2021-12-16T01:19:55Z,550000,-5.0,146.0,1,right,MISS D. Favors 14' Jump Shot,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,14.57,Missed,,,,,,,,,,,,,,
57,PT07M21.00S,2021-12-16T01:19:53.2Z,1,REGULAR,rebound,offensive,[],202324,,,1610612760,8,14,2021-12-16T01:19:55Z,560000,,,0,,D. Favors REBOUND (Off:1 Def:0),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,56.0,1.0,0.0,1.0,,,,,,,,,,
58,PT07M20.00S,2021-12-16T01:19:54.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628983,68.41327201051249,59.55882352941176,1610612760,11,14,2021-12-16T01:19:59Z,570000,48.0,244.0,1,right,S. Gilgeous-Alexander 24' 3PT  (5 PTS) (D. Favors 3 AST),"[1628983, 202324]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,24.9,Made,,,,,5.0,D. Favors,202324.0,3.0,,,,,,
60,PT06M59.00S,2021-12-16T01:20:17.6Z,1,REGULAR,turnover,out-of-bounds,[],1627742,,,1610612740,11,14,2021-12-16T01:20:23Z,590000,,,0,,B. Ingram lost ball out-of-bounds TURNOVER (1 TO),[1627742],1610612740.0,NOP,lost ball,,,Ingram,B. Ingram,,,,,1193.0,,,,,,,,,,,,,,,1.0,,,,,
61,PT06M59.00S,2021-12-16T01:20:20.1Z,1,REGULAR,substitution,out,[],1628984,,,1610612760,11,14,2021-12-16T01:20:23Z,600000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M59.00S,2021-12-16T01:20:20.1Z,1,REGULAR,substitution,in,[],203107,,,1610612760,11,14,2021-12-16T01:20:23Z,610000,,,0,,SUB in: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M49.00S,2021-12-16T01:20:39.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628983,83.13074901445466,38.72549019607843,1610612760,11,14,2021-12-16T01:20:44Z,620000,-56.0,106.0,1,right,MISS S. Gilgeous-Alexander 12' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,12.02,Missed,,,,,,,,,,,,,,
65,PT06M44.00S,2021-12-16T01:20:44.3Z,1,REGULAR,rebound,offensive,[],1630598,,,1610612760,11,14,2021-12-16T01:20:44Z,630000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,64.0,1.0,0.0,1.0,,,,,,,,,,
66,PT06M44.00S,2021-12-16T01:20:43.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630598,94.40999984741211,50.0,1610612760,13,14,2021-12-16T01:20:43Z,640000,0.0,0.0,1,right,A. Wiggins tip DUNK (4 PTS),[1630598],1610612760.0,OKC,tip,,,Wiggins,A. Wiggins,,,,,,,,,,0.0,Made,,,,,4.0,,,,,,,,,
67,PT06M29.00S,2021-12-16T01:20:58.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,12.959921156373195,39.21568627450981,1610612740,13,14,2021-12-16T01:21:05Z,650000,54.0,69.0,1,left,MISS B. Ingram 8' floating Shot,[1627742],1610612740.0,NOP,floating,,,Ingram,B. Ingram,,,,,,,,,,8.78,Missed,,,,,,,,,,,,,,
68,PT06M25.00S,2021-12-16T01:21:02.5Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,13,14,2021-12-16T01:21:05Z,660000,,,0,,J. Valanciunas REBOUND (Off:2 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,67.0,5.0,3.0,2.0,,,,,,,,,,
69,PT06M25.00S,2021-12-16T01:21:03.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202685,5.590000152587891,50.0,1610612740,13,14,2021-12-16T01:25:30Z,670000,0.0,0.0,1,left,MISS J. Valanciunas tip Layup,[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,,
70,PT06M25.00S,2021-12-16T01:21:03.1Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,13,14,2021-12-16T01:21:08Z,680000,,,0,,J. Valanciunas REBOUND (Off:3 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,69.0,6.0,3.0,3.0,,,,,,,,,,
71,PT06M23.00S,2021-12-16T01:21:05.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,5.590000152587891,50.0,1610612740,13,14,2021-12-16T01:21:05Z,690000,0.0,0.0,1,left,MISS J. Valanciunas tip Layup,[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,,,,,,0.0,Missed,,,,,,,,,,,,,,
72,PT06M22.00S,2021-12-16T01:21:06.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,13,14,2021-12-16T01:21:06Z,700000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,
73,PT06M20.00S,2021-12-16T01:21:08.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,92.59198423127464,50.0,1610612760,15,14,2021-12-16T01:21:14Z,710000,0.0,17.0,1,right,J. Giddey running Layup (4 PTS),[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,,,,,,1.71,Made,,,,,4.0,,,,,,,,,
74,PT05M59.00S,2021-12-16T01:21:28.4Z,1,REGULAR,2pt,Jump Shot,[],202685,6.1268068331143235,77.45098039215686,1610612740,15,16,2021-12-16T01:21:32Z,720000,-137.0,5.0,1,left,J. Valanciunas 13' Jump Shot (4 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,13.74,Made,,,,,4.0,H. Jones,1630529.0,1.0,,,,,,
76,PT05M38.00S,2021-12-16T01:21:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,91.01511169513797,55.392156862745104,1610612760,17,16,2021-12-16T01:21:58Z,740000,27.0,32.0,1,right,S. Gilgeous-Alexander pullup bank Jump Shot (7 PTS),[1628983],1610612760.0,OKC,pullup bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,4.19,Made,,,,,7.0,,,,,,,,,
77,PT05M26.00S,2021-12-16T01:22:02.3Z,1,REGULAR,3pt,Jump Shot,[],1628404,27.808804204993432,16.42156862745098,1610612740,17,16,2021-12-16T01:26:20Z,750000,168.0,209.0,1,left,MISS J. Hart 26' pullup 3PT,[1628404],1610612740.0,NOP,pullup,,,Hart,J. Hart,,,,,,,,,,26.8,Missed,,,,,,,,,,,,,,
78,PT05M23.00S,2021-12-16T01:22:05.3Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,17,16,2021-12-16T01:22:07Z,760000,,,0,,D. Favors REBOUND (Off:1 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,77.0,2.0,1.0,1.0,,,,,,,,,,
79,PT05M14.00S,2021-12-16T01:22:20.9Z,1,REGULAR,foul,technical,['1freethrow'],202685,,,1610612760,17,16,2021-12-16T01:22:37Z,770000,,,0,,J. Valanciunas defensive-3-second technical FOUL (1 Tech),[202685],1610612740.0,NOP,defensive-3-second,,,Valanciunas,J. Valanciunas,,,,,1193.0,0.0,1.0,,,,,,,,,,,,,,,,,,
80,PT05M14.00S,2021-12-16T01:22:37.8Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,18,16,2021-12-16T01:22:37Z,780000,,,0,,S. Gilgeous-Alexander technical Free Throw 1 of 1 (8 PTS),[1628983],1610612760.0,OKC,technical,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,Made,,,,,8.0,,,,,,,,,
81,PT05M14.00S,2021-12-16T01:22:38.7Z,1,REGULAR,substitution,out,[],1630529,,,1610612760,18,16,2021-12-16T01:22:50Z,790000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M14.00S,2021-12-16T01:22:38.7Z,1,REGULAR,substitution,out,[],202685,,,1610612760,18,16,2021-12-16T01:22:50Z,800000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M14.00S,2021-12-16T01:22:38.7Z,1,REGULAR,substitution,in,[],1626195,,,1610612760,18,16,2021-12-16T01:22:50Z,810000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M14.00S,2021-12-16T01:22:38.7Z,1,REGULAR,substitution,in,[],1629638,,,1610612760,18,16,2021-12-16T01:22:50Z,820000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M10.00S,2021-12-16T01:23:02.6Z,1,REGULAR,turnover,bad pass,[],1630598,,,1610612760,18,16,2021-12-16T01:28:58Z,830000,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[1630598, 1629638]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,1.0,Alexander-Walker,1629638.0,,,
86,PT05M10.00S,2021-12-16T01:23:02.6Z,1,REGULAR,steal,,[],1629638,,,1610612740,18,16,2021-12-16T01:23:06Z,840000,,,0,,N. Alexander-Walker STEAL (1 STL),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M05.00S,2021-12-16T01:23:08.7Z,1,REGULAR,turnover,out-of-bounds,[],1628404,,,1610612740,18,16,2021-12-16T01:31:10Z,850000,,,0,,J. Hart bad pass out-of-bounds TURNOVER (2 TO),[1628404],1610612740.0,NOP,bad pass,,,Hart,J. Hart,,,,,201639.0,,,,,,,,,,,,,,,2.0,,,,,
88,PT04M54.00S,2021-12-16T01:23:25.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202324,79.71419185282524,35.53921568627451,1610612760,18,16,2021-12-16T01:23:30Z,860000,-72.0,138.0,1,right,MISS D. Favors 15' Jump Shot,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,15.6,Missed,,,,,,,,,,,,,,
