actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
17,PT10M25.00S,2021-12-19T01:12:13.9Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,3,3,2021-12-19T01:12:15Z,170000,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
18,PT10M18.00S,2021-12-19T01:12:20.9Z,1,REGULAR,3pt,Jump Shot,[],1629611,11.645860709592641,96.32352941176471,1610612746,3,3,2021-12-19T01:12:25Z,180000,-232.0,57.0,1,left,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,23.85,Missed,,,,,,,,,,,,,,,
19,PT10M15.00S,2021-12-19T01:12:23.9Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,3,3,2021-12-19T01:12:25Z,190000,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,
20,PT10M10.00S,2021-12-19T01:12:28.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630581,84.97043363994744,35.78431372549019,1610612760,5,3,2021-12-19T01:12:50Z,200000,-71.0,89.0,1,right,J. Giddey 11' driving floating Jump Shot (2 PTS),[1630581],1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,,,,,11.38,Made,2.0,,,,,,,,,,,,,,
21,PT09M51.00S,2021-12-19T01:12:47.9Z,1,REGULAR,3pt,Jump Shot,[],1629611,28.203022339027594,23.774509803921568,1610612746,5,6,2021-12-19T01:12:56Z,210000,131.0,213.0,1,left,T. Mann 24' 3PT pullup (3 PTS) (I. Zubac 1 AST),"[1629611, 1627826]",1610612746.0,LAC,pullup,,,Mann,T. Mann,,,,,,,,,24.98,Made,3.0,I. Zubac,1627826.0,1.0,,,,,,,,,,,
23,PT09M34.00S,2021-12-19T01:13:04.6Z,1,REGULAR,3pt,Jump Shot,[],1629652,76.82325886990802,10.53921568627451,1610612760,5,6,2021-12-19T01:13:09Z,230000,-197.0,165.0,1,right,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,25.75,Missed,,,,,,,,,,,,,,,
24,PT09M32.00S,2021-12-19T01:13:06.6Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,5,6,2021-12-19T01:13:09Z,240000,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,23.0,3.0,2.0,1.0,,,,,,,
25,PT09M25.00S,2021-12-19T01:13:14.1Z,1,REGULAR,turnover,lost ball,[],1630526,,,1610612760,5,6,2021-12-19T01:13:17Z,250000,,,0,,J. Robinson-Earl lost ball TURNOVER (1 TO),"[1630526, 202704]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,1.0,Jackson,202704.0,,,,,,,,,,,,,,,,,
26,PT09M25.00S,2021-12-19T01:13:14.1Z,1,REGULAR,steal,,[],202704,,,1610612746,5,6,2021-12-19T01:17:06Z,260000,,,0,,R. Jackson STEAL (1 STL),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M19.00S,2021-12-19T01:13:22.9Z,1,REGULAR,foul,personal,[],1630598,,,1610612746,5,6,2021-12-19T01:16:57Z,270000,,,0,,A. Wiggins personal FOUL (1 PF),"[1630598, 1627826]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,1627529.0,,,,,,,,,,,,,,1.0,0.0,Zubac,1627826.0,,,
29,PT09M05.00S,2021-12-19T01:13:55.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628379,23.47240473061761,12.990196078431374,1610612746,5,6,2021-12-19T01:14:02Z,290000,185.0,168.0,1,left,MISS L. Kennard 25' pullup 3PT,[1628379],1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,,,,,25.0,Missed,,,,,,,,,,,,,,,
30,PT09M02.00S,2021-12-19T01:13:58.8Z,1,REGULAR,rebound,offensive,[],1629611,,,1610612746,5,6,2021-12-19T01:14:02Z,300000,,,0,,T. Mann REBOUND (Off:1 Def:0),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,29.0,1.0,0.0,1.0,,,,,,,
31,PT08M59.00S,2021-12-19T01:14:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626159,4.812746386333772,51.9607843137255,1610612746,5,6,2021-12-19T01:14:05Z,310000,-10.0,-7.0,1,left,MISS J. Winslow Layup,[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,1.22,Missed,,,,,,,,,,,,,,,
32,PT08M57.00S,2021-12-19T01:14:03.9Z,1,REGULAR,rebound,offensive,[],1626159,,,1610612746,5,6,2021-12-19T01:14:05Z,320000,,,0,,J. Winslow REBOUND (Off:1 Def:0),[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,,,,,,,31.0,1.0,0.0,1.0,,,,,,,
33,PT08M57.00S,2021-12-19T01:14:04.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626159,5.590000152587891,50.0,1610612746,5,8,2021-12-19T01:14:04Z,330000,0.0,0.0,1,left,J. Winslow tip Layup (2 PTS),[1626159],1610612746.0,LAC,tip,,,Winslow,J. Winslow,,,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,,
34,PT08M47.00S,2021-12-19T01:14:14.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,80.1084099868594,49.01960784313725,1610612760,5,8,2021-12-19T01:14:19Z,340000,-5.0,134.0,1,right,MISS J. Giddey 13' floating Shot,[1630581],1610612760.0,OKC,floating,,,Giddey,J. Giddey,,,,,,,,,13.46,Missed,,,,,,,,,,,,,,,
35,PT08M44.00S,2021-12-19T01:14:17.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,5,8,2021-12-19T01:14:19Z,350000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,
36,PT08M40.00S,2021-12-19T01:14:22.0Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612746,5,8,2021-12-19T01:14:32Z,360000,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Zubac 2 FT),"[1628983, 1627826]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,202058.0,,,,,,,,,,,,,,1.0,0.0,Zubac,1627826.0,,,
38,PT08M40.00S,2021-12-19T01:14:52.1Z,1,REGULAR,freethrow,1 of 2,[],1627826,,,1610612746,5,8,2021-12-19T01:15:05Z,380000,,,0,,MISS I. Zubac Free Throw 1 of 2,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,Missed,,,,,,,,,,,,,,,
39,PT08M40.00S,2021-12-19T01:14:52.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612746,5,8,2021-12-19T01:15:05Z,390000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,
40,PT08M40.00S,2021-12-19T01:14:52.1Z,1,REGULAR,freethrow,2 of 2,[],1627826,,,1610612746,5,8,2021-12-19T01:15:05Z,400000,,,0,,MISS I. Zubac Free Throw 2 of 2,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,Missed,,,,,,,,,,,,,,,
41,PT08M38.00S,2021-12-19T01:14:54.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,5,8,2021-12-19T01:15:05Z,410000,,,0,,J. Giddey REBOUND (Off:1 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,40.0,4.0,3.0,1.0,,,,,,,
42,PT08M19.00S,2021-12-19T01:15:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,94.03745072273325,60.5392156862745,1610612760,5,8,2021-12-19T01:15:26Z,420000,53.0,4.0,1,right,MISS J. Robinson-Earl cutting Layup,[1630526],1610612760.0,OKC,cutting,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,5.28,Missed,,,,,,,,,,,,,,,
43,PT08M17.00S,2021-12-19T01:15:24.3Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,5,8,2021-12-19T01:15:26Z,430000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,
44,PT08M08.00S,2021-12-19T01:15:36.6Z,1,REGULAR,foul,personal,[],1629652,,,1610612746,5,8,2021-12-19T01:15:42Z,440000,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 202704]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,202058.0,,,,,,,,,,,,,,1.0,0.0,Jackson,202704.0,,,
46,PT07M57.00S,2021-12-19T01:16:00.2Z,1,REGULAR,3pt,Jump Shot,[],202704,24.655059132720105,85.04901960784314,1610612746,5,8,2021-12-19T01:16:04Z,460000,-175.0,179.0,1,left,MISS R. Jackson 25' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,25.07,Missed,,,,,,,,,,,,,,,
47,PT07M54.00S,2021-12-19T01:16:03.2Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,5,8,2021-12-19T01:16:04Z,470000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,
48,PT07M37.00S,2021-12-19T01:16:21.2Z,1,REGULAR,2pt,Jump Shot,[],1630581,72.35545335085413,30.88235294117647,1610612760,7,8,2021-12-19T01:19:30Z,480000,-96.0,207.0,1,right,J. Giddey 22' step back Jump Shot (4 PTS),[1630581],1610612760.0,OKC,step back,,,Giddey,J. Giddey,,,,,,,,,22.84,Made,4.0,,,,,,,,,,,,,,
49,PT07M17.00S,2021-12-19T01:16:39.8Z,1,REGULAR,3pt,Jump Shot,[],1626159,4.812746386333772,96.32352941176471,1610612746,7,11,2021-12-19T01:16:44Z,490000,-232.0,-7.0,1,left,J. Winslow 3PT  (5 PTS) (R. Jackson 1 AST),"[1626159, 202704]",1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,23.17,Made,5.0,R. Jackson,202704.0,1.0,,,,,,,,,,,
51,PT07M03.00S,2021-12-19T01:16:53.3Z,1,REGULAR,3pt,Jump Shot,[],1630598,70.90998685939553,17.15686274509804,1610612760,7,11,2021-12-19T01:17:00Z,510000,-164.0,221.0,1,right,MISS A. Wiggins 27' 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,27.52,Missed,,,,,,,,,,,,,,,
52,PT07M01.00S,2021-12-19T01:16:56.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,7,11,2021-12-19T01:16:56Z,520000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,
53,PT06M51.00S,2021-12-19T01:17:09.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,7,11,2021-12-19T01:17:09Z,530000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M51.00S,2021-12-19T01:17:14.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,7,11,2021-12-19T01:17:14Z,540000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M46.00S,2021-12-19T01:20:12.2Z,1,REGULAR,3pt,Jump Shot,[],1628379,27.283180026281208,78.43137254901961,1610612746,7,11,2021-12-19T01:20:17Z,550000,-142.0,204.0,1,left,MISS L. Kennard 24' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,24.87,Missed,,,,,,,,,,,,,,,
56,PT06M42.00S,2021-12-19T01:20:16.2Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,7,11,2021-12-19T01:20:17Z,560000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,
57,PT06M27.00S,2021-12-19T01:20:33.1Z,1,REGULAR,foul,personal,[],1627826,,,1610612760,7,11,2021-12-19T01:20:40Z,570000,,,0,,I. Zubac personal FOUL (1 PF),"[1627826, 1628983]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,1627529.0,,,,,,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,
59,PT06M23.00S,2021-12-19T01:20:58.2Z,1,REGULAR,foul,personal,[],1629611,,,1610612760,7,11,2021-12-19T01:21:25Z,590000,,,0,,T. Mann personal FOUL (1 PF),"[1629611, 1629652]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,202058.0,,,,,,,,,,,,,,1.0,0.0,Dort,1629652.0,,,
61,PT06M14.00S,2021-12-19T01:21:22.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,77.87450722733246,90.44117647058823,1610612760,10,11,2021-12-19T01:21:28Z,610000,202.0,155.0,1,right,L. Dort 25' 3PT  (3 PTS) (J. Robinson-Earl 1 AST),"[1629652, 1630526]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,25.51,Made,3.0,J. Robinson-Earl,1630526.0,1.0,,,,,,,,,,,
63,PT05M47.00S,2021-12-19T01:21:48.3Z,1,REGULAR,2pt,Jump Shot,[],202704,22.683968462549277,70.83333333333334,1610612746,10,13,2021-12-19T01:21:52Z,630000,-104.0,161.0,1,left,R. Jackson 19' pullup Jump Shot (2 PTS),[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,,,,,19.15,Made,2.0,,,,,,,,,,,,,,
64,PT05M28.00S,2021-12-19T01:22:09.7Z,1,REGULAR,foul,offensive,[],1630526,,,1610612760,10,13,2021-12-19T01:22:17Z,640000,,,0,,J. Robinson-Earl charge offensive FOUL (1 PF),"[1630526, 202704]",1610612760.0,OKC,charge,,,Robinson-Earl,J. Robinson-Earl,,,,,202027.0,,,,,,,,,,,,,,1.0,0.0,Jackson,202704.0,,,
66,PT05M28.00S,2021-12-19T01:22:09.7Z,1,REGULAR,turnover,offensive foul,[],1630526,,,1610612760,10,13,2021-12-19T01:22:09Z,660000,,,0,,J. Robinson-Earl offensive foul TURNOVER (2 TO),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,202027.0,2.0,,,,,,,,,,,,,,,,,,,
67,PT05M09.00S,2021-12-19T01:22:48.1Z,1,REGULAR,foul,personal,[],1630526,,,1610612746,10,13,2021-12-19T01:22:56Z,670000,,,0,,J. Robinson-Earl personal FOUL (2 PF),"[1630526, 202704]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,202058.0,,,,,,,,,,,,,,2.0,0.0,Jackson,202704.0,,,
69,PT05M09.00S,2021-12-19T01:22:54.5Z,1,REGULAR,substitution,out,[],1630581,,,1610612746,10,13,2021-12-19T01:22:58Z,690000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M09.00S,2021-12-19T01:22:54.5Z,1,REGULAR,substitution,in,[],1630544,,,1610612746,10,13,2021-12-19T01:22:58Z,700000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M00.00S,2021-12-19T01:23:17.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628379,8.09789750328515,21.07843137254902,1610612746,10,13,2021-12-19T01:24:04Z,710000,145.0,24.0,1,left,MISS L. Kennard 14' fadeaway Shot,[1628379],1610612746.0,LAC,fadeaway,,,Kennard,L. Kennard,,,,,,,,,14.65,Missed,,,,,,,,,,,,,,,
72,PT04M57.00S,2021-12-19T01:23:20.2Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612760,10,13,2021-12-19T01:23:22Z,720000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,
73,PT04M43.00S,2021-12-19T01:23:34.6Z,1,REGULAR,3pt,Jump Shot,[],1630544,67.7562417871222,16.176470588235293,1610612760,13,13,2021-12-19T01:23:39Z,730000,-169.0,251.0,1,right,T. Mann 30' 3PT  (3 PTS) (S. Gilgeous-Alexander 2 AST),"[1630544, 1628983]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,30.23,Made,3.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,,
75,PT04M40.00S,2021-12-19T01:23:42.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,13,13,2021-12-19T01:23:42Z,750000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M40.00S,2021-12-19T01:23:44.2Z,1,REGULAR,substitution,out,[],202704,,,1610612746,13,13,2021-12-19T01:26:25Z,760000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M40.00S,2021-12-19T01:23:44.2Z,1,REGULAR,substitution,out,[],1626159,,,1610612746,13,13,2021-12-19T01:26:25Z,770000,,,0,,SUB out: J. Winslow,[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M40.00S,2021-12-19T01:23:44.2Z,1,REGULAR,substitution,in,[],201587,,,1610612746,13,13,2021-12-19T01:26:25Z,780000,,,0,,SUB in: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M40.00S,2021-12-19T01:23:44.2Z,1,REGULAR,substitution,in,[],202339,,,1610612746,13,13,2021-12-19T01:26:25Z,790000,,,0,,SUB in: E. Bledsoe,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M22.00S,2021-12-19T01:26:51.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628983,,,1610612746,13,13,2021-12-19T01:27:01Z,800000,,,0,,S. Gilgeous-Alexander shooting personal FOUL (2 PF) (Mann 2 FT),"[1628983, 1629611]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,1627529.0,,,,,,,,,,,,,,2.0,0.0,Mann,1629611.0,,,
82,PT04M22.00S,2021-12-19T01:27:17.9Z,1,REGULAR,freethrow,1 of 2,[],1629611,,,1610612746,13,14,2021-12-19T01:27:17Z,820000,,,0,,T. Mann Free Throw 1 of 2 (4 PTS),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
83,PT04M22.00S,2021-12-19T01:27:18.5Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,13,14,2021-12-19T01:27:24Z,830000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M22.00S,2021-12-19T01:27:18.5Z,1,REGULAR,substitution,in,[],1628392,,,1610612746,13,14,2021-12-19T01:27:24Z,840000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M22.00S,2021-12-19T01:27:36.6Z,1,REGULAR,freethrow,2 of 2,[],1629611,,,1610612746,13,15,2021-12-19T01:27:36Z,850000,,,0,,T. Mann Free Throw 2 of 2 (5 PTS),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
86,PT03M59.00S,2021-12-19T01:28:00.9Z,1,REGULAR,2pt,Jump Shot,[],1628983,87.20433639947439,28.186274509803923,1610612760,15,15,2021-12-19T01:28:04Z,860000,-109.0,68.0,1,right,S. Gilgeous-Alexander 12' pullup Jump Shot (2 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,12.85,Made,2.0,,,,,,,,,,,,,,
87,PT03M44.00S,2021-12-19T01:28:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629611,4.418528252299605,3.9215686274509802,1610612746,15,15,2021-12-19T01:28:19Z,870000,230.0,-11.0,1,left,MISS T. Mann 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,23.07,Missed,,,,,,,,,,,,,,,
88,PT03M42.00S,2021-12-19T01:28:16.9Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612746,15,15,2021-12-19T01:28:19Z,880000,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,87.0,1.0,0.0,1.0,,,,,,,
89,PT03M29.00S,2021-12-19T01:28:30.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202339,13.748357424441524,34.55882352941176,1610612746,15,15,2021-12-19T01:29:13Z,890000,77.0,77.0,1,left,MISS E. Bledsoe 10' driving floating Shot,[202339],1610612746.0,LAC,driving floating,,,Bledsoe,E. Bledsoe,,,,,,,,,10.88,Missed,,,,,,,,,,,,,,,
90,PT03M26.00S,2021-12-19T01:28:33.1Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,15,15,2021-12-19T01:33:21Z,900000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,89.0,1.0,1.0,0.0,,,,,,,
