actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
29,PT10M11.00S,2022-03-05T01:13:49.5Z,1,REGULAR,foul,personal,[],1630183,,,1610612760,4,4,2022-03-05T01:13:57Z,290000,,,0,,J. McDaniels personal FOUL (1 PF),"[1630183, 1628983]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,101284.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,
75,PT10M07.00S,2022-03-05T01:14:04.5Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,4,4,2022-03-05T01:20:30Z,310000,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 1626157]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,1.0,Towns,1626157.0,,,,,,
76,PT10M07.00S,2022-03-05T01:14:04.5Z,1,REGULAR,steal,,[],1626157,,,1610612750,4,4,2022-03-05T01:20:30Z,315000,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M56.00S,2022-03-05T01:14:19.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630183,91.27792378449409,46.32352941176471,1610612750,4,4,2022-03-05T02:16:42Z,320000,-18.0,29.0,1,right,MISS J. McDaniels running Layup - blocked,"[1630183, 1629647]",1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,3.48,Missed,,,,,,,,,,,,,Bazley,1629647.0,,,,
33,PT09M56.00S,2022-03-05T01:14:19.6Z,1,REGULAR,block,,[],1629647,,,1610612750,4,4,2022-03-05T02:16:42Z,330000,,,0,,D. Bazley BLOCK (2 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M56.00S,2022-03-05T01:14:19.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,4,4,2022-03-05T01:14:28Z,340000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,
35,PT09M56.00S,2022-03-05T01:14:28.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,4,4,2022-03-05T01:14:28Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M54.00S,2022-03-05T01:14:41.0Z,1,REGULAR,3pt,Jump Shot,"['2ndchance', 'fromturnover']",1626157,70.25295663600527,18.38235294117647,1610612750,4,4,2022-03-05T01:20:30Z,360000,-158.0,227.0,1,right,MISS K. Towns 27' 3PT,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,27.67,Missed,,,,,,,,,,,,,,,,,,
37,PT09M48.00S,2022-03-05T01:14:47.0Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,4,4,2022-03-05T01:14:46Z,370000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,36.0,1.0,1.0,0.0
38,PT09M45.00S,2022-03-05T01:14:48.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628983,9.674770039421814,54.65686274509803,1610612760,6,4,2022-03-05T01:14:57Z,380000,-23.0,38.0,1,left,S. Gilgeous-Alexander running finger roll Layup (2 PTS),[1628983],1610612760.0,OKC,running finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,4.49,Made,2.0,,,,,,,,,,,,,,,,,
39,PT09M35.00S,2022-03-05T01:14:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,91.27792378449409,57.107843137254896,1610612750,6,6,2022-03-05T01:15:03Z,390000,36.0,29.0,1,right,K. Towns driving Layup (2 PTS) (P. Beverley 2 AST),"[1626157, 201976]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,4.62,Made,2.0,P. Beverley,201976.0,2.0,,,,,,,,,,,,,,
41,PT09M18.00S,2022-03-05T01:15:17.4Z,1,REGULAR,turnover,lost ball,[],1629647,,,1610612760,6,6,2022-03-05T01:15:24Z,410000,,,0,,D. Bazley lost ball TURNOVER (1 TO),"[1629647, 1629020]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,1.0,Vanderbilt,1629020.0,,,,,,
42,PT09M18.00S,2022-03-05T01:15:17.4Z,1,REGULAR,steal,,[],1629020,,,1610612750,6,6,2022-03-05T01:15:22Z,420000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M13.00S,2022-03-05T01:15:24.1Z,1,REGULAR,turnover,bad pass,[],1626157,,,1610612750,6,6,2022-03-05T01:22:54Z,430000,,,0,,K. Towns bad pass TURNOVER (2 TO),"[1626157, 1629676]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,2.0,Roby,1629676.0,,,,,,
44,PT09M13.00S,2022-03-05T01:15:24.1Z,1,REGULAR,steal,,[],1629676,,,1610612760,6,6,2022-03-05T01:15:28Z,440000,,,0,,I. Roby STEAL (1 STL),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,
45,PT09M13.00S,2022-03-05T01:15:31.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629676,8.09789750328515,51.470588235294116,1610612760,8,6,2022-03-05T01:22:31Z,450000,-7.0,24.0,1,left,I. Roby Layup (6 PTS),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,2.47,Made,6.0,,,,,,,,,,,,,,,,,
