actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
26,PT09M48.00S,2022-04-03T23:14:07.8Z,1,REGULAR,steal,,[],1629676,,,1610612760,3,4,2022-04-03T23:14:09Z,260000,,,0,,I. Roby STEAL (1 STL),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M37.00S,2022-04-03T23:14:18.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630197,91.40932982917214,40.931372549019606,1610612760,3,4,2022-04-03T23:14:21Z,270000,-45.0,28.0,1,right,MISS A. Pokusevski driving Layup,[1630197],1610612760.0,OKC,driving,,,Pokusevski,A. Pokusevski,,,,,5.34,Missed,,,,,,,,,,,,,,,,,,
28,PT09M35.00S,2022-04-03T23:14:20.3Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,3,4,2022-04-03T23:14:21Z,280000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M19.00S,2022-04-03T23:14:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201580,15.325229960578188,45.09803921568628,1610612756,3,4,2022-04-03T23:14:43Z,290000,25.0,92.0,1,left,MISS J. McGee 9' fadeaway Shot,[201580],1610612756.0,PHX,fadeaway,,,McGee,J. McGee,,,,,9.48,Missed,,,,,,,,,,,,,,,,,,
30,PT09M17.00S,2022-04-03T23:14:38.8Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,3,4,2022-04-03T23:14:43Z,300000,,,0,,A. Wiggins REBOUND (Off:0 Def:3),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,29.0,3.0,3.0,0.0,,,,,,,,,,,,,,
31,PT09M13.00S,2022-04-03T23:14:42.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630249,72.7496714848883,14.705882352941178,1610612760,3,4,2022-04-03T23:14:48Z,310000,-176.0,204.0,1,right,MISS V. Krejci 26' running pullup 3PT,[1630249],1610612760.0,OKC,running pullup,,,Krejci,V. Krejci,,,,,26.95,Missed,,,,,,,,,,,,,,,,,,
32,PT09M11.00S,2022-04-03T23:14:44.7Z,1,REGULAR,rebound,defensive,[],201580,,,1610612756,3,4,2022-04-03T23:14:48Z,320000,,,0,,J. McGee REBOUND (Off:0 Def:2),[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,
33,PT08M59.00S,2022-04-03T23:14:57.4Z,1,REGULAR,3pt,Jump Shot,[],1628969,22.815374507227332,89.70588235294117,1610612756,3,7,2022-04-03T23:15:02Z,330000,-199.0,162.0,1,left,M. Bridges 25' 3PT  (3 PTS) (C. Paul 1 AST),"[1628969, 101108]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,25.62,Made,,,,,3.0,C. Paul,101108.0,1.0,,,,,,,,,,
35,PT08M32.00S,2022-04-03T23:15:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,93.24901445466492,55.63725490196079,1610612760,5,7,2022-04-03T23:15:28Z,350000,28.0,11.0,1,right,A. Wiggins driving Layup (2 PTS),[1630598],1610612760.0,OKC,driving,,,Wiggins,A. Wiggins,,,,,3.03,Made,,,,,2.0,,,,,,,,,,,,,
36,PT08M08.00S,2022-04-03T23:15:48.0Z,1,REGULAR,3pt,Jump Shot,[],101108,26.363337713534822,82.59803921568627,1610612756,5,7,2022-04-03T23:15:53Z,360000,-163.0,195.0,1,left,MISS C. Paul 25' 3PT,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,
37,PT08M04.00S,2022-04-03T23:15:52.0Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612756,5,7,2022-04-03T23:15:53Z,370000,,,0,,C. Johnson REBOUND (Off:1 Def:0),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,,,,,
38,PT08M03.00S,2022-04-03T23:15:54.3Z,1,REGULAR,foul,personal,['2freethrow'],1630249,,,1610612756,5,7,2022-04-03T23:15:59Z,380000,,,0,,V. Krejci shooting personal FOUL (1 PF) (Johnson 2 FT),"[1630249, 1629661]",1610612760.0,OKC,shooting,,,Krejci,V. Krejci,,,,,,,,,,,,,,,202035.0,,1.0,0.0,Johnson,1629661.0,,,,
40,PT08M03.00S,2022-04-03T23:16:19.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629661,,,1610612756,5,8,2022-04-03T23:16:19Z,400000,,,0,,C. Johnson Free Throw 1 of 2 (1 PTS),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
41,PT08M03.00S,2022-04-03T23:16:30.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629661,,,1610612756,5,9,2022-04-03T23:16:30Z,410000,,,0,,C. Johnson Free Throw 2 of 2 (2 PTS),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
42,PT07M45.00S,2022-04-03T23:16:49.9Z,1,REGULAR,3pt,Jump Shot,[],1630249,93.24901445466492,3.6764705882352944,1610612760,5,9,2022-04-03T23:16:55Z,420000,-232.0,11.0,1,right,MISS V. Krejci 3PT,[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,23.19,Missed,,,,,,,,,,,,,,,,,,
43,PT07M41.00S,2022-04-03T23:16:53.9Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,5,9,2022-04-03T23:16:55Z,430000,,,0,,C. Johnson REBOUND (Off:1 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,,,
44,PT07M32.00S,2022-04-03T23:17:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,7.703679369250986,63.48039215686274,1610612756,5,11,2022-04-03T23:17:07Z,440000,-67.0,20.0,1,left,M. Bridges 7' fadeaway Jump Shot (5 PTS) (C. Paul 2 AST),"[1628969, 101108]",1610612756.0,PHX,fadeaway,,,Bridges,M. Bridges,,,,,7.03,Made,,,,,5.0,C. Paul,101108.0,2.0,,,,,,,,,,
46,PT07M19.00S,2022-04-03T23:17:15.5Z,1,REGULAR,2pt,Jump Shot,[],1630177,79.97700394218134,73.0392156862745,1610612760,5,11,2022-04-03T23:17:18Z,460000,115.0,136.0,1,right,MISS T. Maledon 17' pullup Shot,[1630177],1610612760.0,OKC,pullup,,,Maledon,T. Maledon,,,,,17.8,Missed,,,,,,,,,,,,,,,,,,
47,PT07M17.00S,2022-04-03T23:17:17.5Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612756,5,11,2022-04-03T23:17:18Z,470000,,,0,,L. Shamet REBOUND (Off:0 Def:2),[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,,
48,PT07M14.00S,2022-04-03T23:17:22.7Z,1,REGULAR,foul,personal,[],1630249,,,1610612756,5,11,2022-04-03T23:17:30Z,480000,,,0,,V. Krejci personal FOUL (2 PF),"[1630249, 201580]",1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,,,,,,,,,,,1148.0,,2.0,0.0,McGee,201580.0,,,,
50,PT06M58.00S,2022-04-03T23:17:55.0Z,1,REGULAR,3pt,Jump Shot,[],1629013,6.1268068331143235,96.56862745098039,1610612756,5,11,2022-04-03T23:18:00Z,500000,-233.0,5.0,1,left,MISS L. Shamet 3PT,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,23.29,Missed,,,,,,,,,,,,,,,,,,
51,PT06M57.00S,2022-04-03T23:17:56.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,5,11,2022-04-03T23:18:00Z,510000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
52,PT06M57.00S,2022-04-03T23:18:00.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,5,11,2022-04-03T23:18:00Z,520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M57.00S,2022-04-03T23:18:03.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,5,11,2022-04-03T23:18:03Z,530000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M42.00S,2022-04-03T23:21:07.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,5,11,2022-04-03T23:21:07Z,540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M39.00S,2022-04-03T23:21:21.7Z,1,REGULAR,turnover,bad pass,[],1630197,,,1610612760,5,11,2022-04-03T23:21:25Z,550000,,,0,,A. Pokusevski bad pass TURNOVER (1 TO),"[1630197, 1628969]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,1.0,,,,,Bridges,1628969.0,,
56,PT06M39.00S,2022-04-03T23:21:21.7Z,1,REGULAR,steal,,[],1628969,,,1610612756,5,11,2022-04-03T23:21:23Z,560000,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M36.00S,2022-04-03T23:21:26.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628969,6.1268068331143235,54.41176470588235,1610612756,5,13,2022-04-03T23:21:30Z,570000,-22.0,5.0,1,left,M. Bridges cutting Layup (7 PTS) (C. Paul 3 AST),"[1628969, 101108]",1610612756.0,PHX,cutting,,,Bridges,M. Bridges,,,,,2.27,Made,,,,,7.0,C. Paul,101108.0,3.0,,,,,,,,,,
59,PT06M36.00S,2022-04-03T23:21:29.1Z,1,REGULAR,foul,personal,['1freethrow'],1629676,,,1610612756,5,13,2022-04-03T23:21:39Z,590000,,,0,,I. Roby shooting personal FOUL (1 PF) (Bridges 1 FT),"[1629676, 1628969]",1610612760.0,OKC,shooting,,,Roby,I. Roby,,,,,,,,,,,,,,,202035.0,,1.0,0.0,Bridges,1628969.0,,,,
61,PT06M36.00S,2022-04-03T23:21:56.5Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628969,,,1610612756,5,14,2022-04-03T23:21:56Z,610000,,,0,,M. Bridges Free Throw 1 of 1 (8 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
62,PT06M22.00S,2022-04-03T23:22:12.2Z,1,REGULAR,3pt,Jump Shot,[],1630197,67.62483574244416,71.07843137254902,1610612760,5,14,2022-04-03T23:22:16Z,620000,105.0,252.0,1,right,MISS A. Pokusevski 27' 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,27.3,Missed,,,,,,,,,,,,,,,,,,
63,PT06M18.00S,2022-04-03T23:22:16.2Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612756,5,14,2022-04-03T23:22:16Z,630000,,,0,,L. Shamet REBOUND (Off:0 Def:3),[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,62.0,3.0,3.0,0.0,,,,,,,,,,,,,,
64,PT06M11.00S,2022-04-03T23:22:22.3Z,1,REGULAR,3pt,Jump Shot,[],1629661,5.863994743758213,95.34313725490196,1610612756,5,14,2022-04-03T23:22:26Z,640000,-227.0,3.0,1,left,MISS C. Johnson 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,
65,PT06M07.00S,2022-04-03T23:22:26.3Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,5,14,2022-04-03T23:22:26Z,650000,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
66,PT06M00.00S,2022-04-03T23:22:33.2Z,1,REGULAR,turnover,bad pass,[],1630197,,,1610612760,5,14,2022-04-03T23:22:36Z,660000,,,0,,A. Pokusevski bad pass TURNOVER (2 TO),"[1630197, 1629661]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,2.0,,,,,Johnson,1629661.0,,
67,PT06M00.00S,2022-04-03T23:22:33.2Z,1,REGULAR,steal,,[],1629661,,,1610612756,5,14,2022-04-03T23:22:35Z,670000,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M57.00S,2022-04-03T23:22:38.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629661,7.440867279894875,44.36274509803921,1610612756,5,16,2022-04-04T01:17:27Z,680000,28.0,17.0,1,left,C. Johnson driving Layup (4 PTS),[1629661],1610612756.0,PHX,driving,,,Johnson,C. Johnson,,,,,3.31,Made,,,,,4.0,,,,,,,,,,,,,
69,PT05M57.00S,2022-04-03T23:22:40.8Z,1,REGULAR,foul,personal,['1freethrow'],1630598,,,1610612756,5,16,2022-04-03T23:22:47Z,690000,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Johnson 1 FT),"[1630598, 1629661]",1610612760.0,OKC,shooting,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,1155.0,,1.0,0.0,Johnson,1629661.0,,,,
71,PT05M57.00S,2022-04-03T23:22:47.7Z,1,REGULAR,substitution,out,[],1630197,,,1610612756,5,16,2022-04-03T23:24:01Z,710000,,,0,,SUB out: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M57.00S,2022-04-03T23:22:47.7Z,1,REGULAR,substitution,out,[],1629013,,,1610612756,5,16,2022-04-03T23:24:01Z,720000,,,0,,SUB out: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M57.00S,2022-04-03T23:22:47.7Z,1,REGULAR,substitution,in,[],1630526,,,1610612756,5,16,2022-04-03T23:24:01Z,730000,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M57.00S,2022-04-03T23:22:47.7Z,1,REGULAR,substitution,in,[],1626166,,,1610612756,5,16,2022-04-03T23:24:01Z,740000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M57.00S,2022-04-03T23:23:07.1Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1629661,,,1610612756,5,17,2022-04-03T23:23:07Z,750000,,,0,,C. Johnson Free Throw 1 of 1 (5 PTS),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
76,PT05M42.00S,2022-04-03T23:23:22.8Z,1,REGULAR,3pt,Jump Shot,[],1630526,83.78777923784494,2.941176470588235,1610612760,8,17,2022-04-03T23:23:27Z,760000,-235.0,100.0,1,right,J. Robinson-Earl 25' 3PT  (3 PTS) (I. Roby 1 AST),"[1630526, 1629676]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,25.56,Made,,,,,3.0,I. Roby,1629676.0,1.0,,,,,,,,,,
78,PT05M23.00S,2022-04-03T23:23:43.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630177,,,1610612756,8,17,2022-04-03T23:24:01Z,780000,,,0,,T. Maledon shooting personal FOUL (1 PF) (Paul 2 FT),"[1630177, 101108]",1610612760.0,OKC,shooting,,,Maledon,T. Maledon,,,,,,,,,,,,,,,1155.0,,1.0,0.0,Paul,101108.0,,,,
80,PT05M23.00S,2022-04-03T23:24:06.9Z,1,REGULAR,freethrow,1 of 2,[],101108,,,1610612756,8,18,2022-04-03T23:24:29Z,800000,,,0,,C. Paul Free Throw 1 of 2 (1 PTS),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
81,PT05M23.00S,2022-04-03T23:24:10.1Z,1,REGULAR,substitution,out,[],201580,,,1610612756,8,18,2022-04-03T23:24:16Z,810000,,,0,,SUB out: J. McGee,[201580],1610612756.0,PHX,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M23.00S,2022-04-03T23:24:10.1Z,1,REGULAR,substitution,in,[],202687,,,1610612756,8,18,2022-04-03T23:24:16Z,820000,,,0,,SUB in: B. Biyombo,[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M23.00S,2022-04-03T23:24:06.9Z,1,REGULAR,freethrow,2 of 2,[],101108,,,1610612756,8,18,2022-04-03T23:24:29Z,830000,,,0,,MISS C. Paul Free Throw 2 of 2,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,Missed,,,,,,,,,,,,,,,,,,
84,PT05M20.00S,2022-04-03T23:24:09.9Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,8,18,2022-04-03T23:24:29Z,840000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,
85,PT05M11.00S,2022-04-03T23:24:38.3Z,1,REGULAR,turnover,lost ball,[],1630177,,,1610612760,8,18,2022-04-03T23:24:43Z,850000,,,0,,T. Maledon lost ball TURNOVER (2 TO),"[1630177, 1629661]",1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,2.0,,,,,Johnson,1629661.0,,
86,PT05M11.00S,2022-04-03T23:24:38.3Z,1,REGULAR,steal,,[],1629661,,,1610612756,8,18,2022-04-03T23:24:41Z,860000,,,0,,C. Johnson STEAL (2 STL),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M02.00S,2022-04-03T23:24:46.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],101108,24.129434954007884,66.42156862745098,1610612756,8,20,2022-04-03T23:24:50Z,870000,-82.0,174.0,1,left,C. Paul 19' pullup Jump Shot (3 PTS),[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,19.27,Made,,,,,3.0,,,,,,,,,,,,,
88,PT04M51.00S,2022-04-03T23:24:59.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,8,20,2022-04-03T23:24:59Z,880000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M42.00S,2022-04-03T23:25:21.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630526,86.28449408672799,49.50980392156863,1610612760,10,20,2022-04-03T23:25:29Z,890000,-2.0,76.0,1,right,J. Robinson-Earl 7' driving bank Hook (5 PTS) (V. Krejci 1 AST),"[1630526, 1630249]",1610612760.0,OKC,driving bank,,,Robinson-Earl,J. Robinson-Earl,,,,,7.64,Made,,,,,5.0,V. Krejci,1630249.0,1.0,,,,,,,,,,
